,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
11,12,1,1,ゴッドセンド,牡6,57,吉田稔,1:52.4,クビ,**,9-9-9-12,36.8,54.2,12,486(0),,,,[西] 領家政蔵,西森鶴,
12,13,7,13,ハルクバニヤン,牡6,57,内田博幸,1:52.7,2,**,4-4-3-4,37.6,23.9,8,486(-14),,,,[東] 萩原清,津村靖志,
13,14,3,5,タマモグレアー,牡4,57,田中克典,1:52.7,ハナ,**,1-1-1-2,37.8,8.9,5,526(-8),,,,[西] 中竹和也,タマモ,
14,15,3,4,イセノイチ,牡10,57,秋山真一,1:53.2,3,**,6-6-5-6,38.0,34.5,11,496(0),,,,[西] 大橋勇樹,大橋堯格,
0,1,1,2,マイネルキッツ,牡6,58,松岡正海,3:14.4,,**,10-10-4-4,34.9,46.5,12,494(-8),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,13590.6
1,2,2,4,アルナスライン,牡5,58,蛯名正義,3:14.4,クビ,**,8-6-7-4,34.8,7.5,4,542(-4),,,,[西] 松元茂樹,サンデーレーシング,5411.6
2,3,6,12,ドリームジャーニー,牡5,58,池添謙一,3:14.7,1.3/4,**,12-12-11-7,34.9,8.6,5,426(-2),,,,[西] 池江泰寿,サンデーレーシング,3355.8
3,4,1,1,サンライズマックス,牡5,58,福永祐一,3:14.7,ハナ,**,8-9-11-9,34.6,45.8,10,444(-10),,,,[西] 増本豊,松岡隆雄,2000.0
4,5,2,3,ジャガーメイル,牡5,58,安藤勝己,3:14.8,1/2,**,17-17-17-13,34.5,10.7,6,478(+8),,,,[東] 堀宣行,吉田和美,1320.0
5,6,4,8,トウカイトリック,牡7,58,和田竜二,3:15.1,1.3/4,**,12-12-14-15,34.7,73.0,15,454(+2),,,,[西] 野中賢二,内村正則,
