,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
2,3,4,6,シルクフェイマス,牡5,57,四位洋文,2:29.8,1.1/2,,7-6-6-5,35.1,27.3,9.0,480(+14),,,,[西] 鮫島一歩,シルク,4546.2
3,4,5,8,ダイタクバートラム,牡6,57,武豊,2:30.0,1,,10-10-9-10,34.9,11.2,5.0,498(0),,,,[西] 橋口弘次,太陽ファーム,2700.0
4,5,6,10,デルタブルース,牡3,55,ボニヤ,2:30.0,クビ,,4-4-4-3,35.6,8.9,4.0,530(+18),,,,[西] 角居勝彦,サンデーレーシング,1800.0
5,6,2,3,ハイアーゲーム,牡3,55,吉田豊,2:30.4,2.1/2,,13-14-14-14,34.5,109.8,14.0,518(+12),,,,[東] 大久保洋,臼田浩義,
6,7,8,15,アドマイヤドン,牡5,57,安藤勝己,2:30.4,クビ,,8-8-9-8,35.3,21.3,8.0,452(-2),,,,[西] 松田博資,近藤利一,
7,8,7,13,ツルマルボーイ,牡6,57,蛯名正義,2:30.5,クビ,,11-11-11-12,35.1,15.5,7.0,462(-2),,,,[西] 橋口弘次,鶴田任男,
8,9,3,5,ハーツクライ,牡3,55,横山典弘,2:30.5,アタマ,,15-15-15-15,34.2,43.5,10.0,472(-8),,,,[西] 橋口弘次,社台レースホース,
9,10,4,7,ユキノサンロイヤル,牡7,57,柴田善臣,2:30.5,ハナ,,13-13-13-12,34.9,125.2,15.0,472(+2),,,,[東] 増沢末夫,井上基之,
10,11,3,4,コスモバルク,牡3,55,五十嵐冬,2:30.5,アタマ,,9-8-8-8,35.6,7.0,2.0,498(+6),,,,[地] 田部和則,岡田美佐子,
11,12,2,2,ピサノクウカイ,牡3,55,藤田伸二,2:31.0,3,,11-11-11-10,35.7,94.6,13.0,514(+2),,,,[東] 藤沢和雄,市川義美,
12,13,7,12,グレイトジャーニー,牡3,55,小牧太,2:31.0,アタマ,,6-6-6-7,36.4,85.8,11.0,458(-2),,,,[西] 池江泰郎,ノースヒルズマネジメント,
13,14,6,11,ヒシミラクル,牡5,57,角田晃一,2:31.3,1.3/4,,2-2-2-3,37.1,13.1,6.0,456(+2),,,,[西] 佐山優,阿部雅一郎,
14,15,8,14,コイントス,牡6,57,岡部幸雄,2:31.5,1.1/4,,4-5-4-5,37.1,91.1,12.0,534(+6),,,,[東] 藤沢和雄,臼田浩義,
0,1,5,10,ハーツクライ,牡4,57,ルメール,2:31.9,,**,3-4-4-3,35.0,17.1,4.0,498(+2),,,,[西] 橋口弘次,社台レースホース,18336.0
1,2,3,6,ディープインパクト,牡3,55,武豊,2:32.0,1/2,**,11-10-8-6,34.6,1.3,1.0,440(-4),,,,[西] 池江泰郎,金子真人ホールディングス,7296.0
2,3,7,14,リンカーン,牡5,57,横山典弘,2:32.2,1.1/4,**,7-7-6-3,35.0,34.0,6.0,474(+2),,,,[西] 音無秀孝,近藤英子,4548.0
3,4,2,4,コスモバルク,牡4,57,五十嵐冬,2:32.4,1.1/4,**,3-2-2-1,35.8,85.3,10.0,506(+6),,,,[地] 田部和則,岡田美佐子,2700.0
