,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
164,2,8,14,アドマイヤモナーク,牡7,57,川田将雅,35.8,90.2,14.0,468(+6),[西] 松田博資,近藤利一,14,14,13,11,151.8,116.00000000000001,468,6
165,3,4,6,エアシェイディ,牡7,57,後藤浩輝,36.4,36.1,10.0,496(+6),[東] 伊藤正徳,ラッキーフィールド,8,8,5,7,151.9,115.5,496,6
166,4,7,11,ドリームジャーニー,牡4,57,池添謙一,35.9,24.1,7.0,430(+10),[西] 池江泰寿,サンデーレーシング,11,13,13,9,151.9,116.0,430,10
167,5,5,8,スクリーンヒーロー,牡4,57,Ｍデムー,36.5,6.4,3.0,488(+2),[東] 鹿戸雄一,吉田照哉,10,8,5,2,152.0,115.5,488,2
168,6,5,7,アルナスライン,牡4,57,ペリエ,36.4,18.3,5.0,554(+14),[西] 松元茂樹,サンデーレーシング,11,11,10,9,152.2,115.79999999999998,554,14
169,7,1,1,カワカミプリンセス,牝5,55,横山典弘,37.0,19.0,6.0,488(-10),[西] 西浦勝一,三石川上牧場,2,2,5,7,152.5,115.5,488,-10
170,8,6,9,メイショウサムソン,牡5,57,武豊,37.3,8.4,4.0,520(+4),[西] 高橋成忠,松本好雄,2,2,2,2,152.5,115.2,520,4
171,9,4,5,フローテーション,牡3,55,ルメール,37.5,27.3,8.0,486(+2),[西] 橋口弘次,臼田浩義,6,5,2,4,152.7,115.19999999999999,486,2
172,10,2,2,ベンチャーナイン,牡3,55,柴田善臣,36.8,80.0,13.0,500(0),[東] 小桧山悟,本杉芳郎,8,8,12,11,152.7,115.89999999999999,500,0
173,11,3,3,コスモバルク,牡7,57,松岡正海,37.0,75.7,12.0,516(+2),[地] 田部和則,ビッグレッドファーム,6,5,10,11,152.8,115.80000000000001,516,2
174,12,6,10,マツリダゴッホ,牡5,57,蛯名正義,37.5,4.4,2.0,498(+6),[東] 国枝栄,高橋文枝,11,11,5,4,153.1,115.6,498,6
175,13,3,4,エアジパング,セ5,57,藤田伸二,38.3,54.4,11.0,452(+8),[西] 藤原英昭,ラッキーフィールド,5,5,5,11,153.9,115.60000000000001,452,8
176,14,7,12,アサクサキングス,牡4,57,四位洋文,39.1,29.5,9.0,498(0),[西] 大久保龍,田原慶子,4,4,2,4,154.3,115.20000000000002,498,0
