,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
287,1,6,11,サトノダイヤモンド,牡3,55,ルメール,35.5,2.6,1.0,502(+4),[西] 池江泰寿,里見治,4,3,3,3,152.6,117.1,502,4
288,2,1,1,キタサンブラック,牡4,57,武豊,35.8,2.7,2.0,536(0),[西] 清水久詞,大野商事,2,2,2,2,152.6,116.8,536,0
289,3,1,2,ゴールドアクター,牡5,57,吉田隼人,35.7,7.9,3.0,498(-6),[東] 中川公成,居城寿与,3,3,3,3,152.7,116.99999999999999,498,-6
290,4,2,4,ヤマカツエース,牡4,57,池添謙一,35.1,32.6,8.0,508(+4),[西] 池添兼雄,山田和夫,9,10,13,12,152.9,117.80000000000001,508,4
291,5,4,8,ミッキークイーン,牝4,55,浜中俊,35.8,21.9,7.0,434(-8),[西] 池江泰寿,野田みづき,9,9,6,6,153.0,117.2,434,-8
292,6,7,14,シュヴァルグラン,牡4,57,福永祐一,35.7,16.2,5.0,484(+2),[西] 友道康夫,佐々木主浩,11,10,8,5,153.1,117.39999999999999,484,2
293,7,8,15,アルバート,牡5,57,戸崎圭太,35.3,68.0,10.0,472(0),[東] 堀宣行,林正道,11,12,15,16,153.3,118.00000000000001,472,0
294,8,3,6,サウンズオブアース,牡5,57,Ｍ．デム,35.8,8.7,4.0,506(+4),[西] 藤岡健一,吉田照哉,11,12,10,8,153.4,117.60000000000001,506,4
295,9,7,13,デニムアンドルビー,牝6,55,バルザロ,35.7,71.0,11.0,444(0),[西] 角居勝彦,金子真人ホールディングス,14,14,10,8,153.4,117.7,444,0
296,10,8,16,マリアライト,牝5,55,蛯名正義,36.2,19.3,6.0,436(+4),[東] 久保田貴,キャロットファーム,7,7,8,11,153.6,117.39999999999999,436,4
297,11,5,10,アドマイヤデウス,牡5,57,岩田康誠,36.3,51.5,9.0,490(+14),[西] 橋田満,近藤利一,4,5,6,6,153.6,117.3,490,14
298,12,5,9,ヒットザターゲット,牡8,57,田辺裕信,36.1,189.6,15.0,520(+4),[西] 加藤敬二,前田晋二,16,16,15,13,154.1,118.0,520,4
299,13,6,12,サトノノブレス,牡6,57,シュミノ,37.8,155.2,13.0,510(-2),[西] 池江泰寿,里見治,7,5,3,8,154.8,117.00000000000001,510,-2
300,14,2,3,ムスカテール,牡8,57,中谷雄太,37.1,202.3,16.0,492(+2),[西] 友道康夫,吉田勝己,14,14,13,14,154.9,117.80000000000001,492,2
301,15,4,7,マルターズアポジー,牡4,57,武士沢友,38.3,83.1,12.0,536(+8),[東] 堀井雅広,藤田在子,1,1,1,1,155.0,116.7,536,8
302,16,3,5,サムソンズプライド,牡6,57,横山典弘,38.0,180.3,14.0,484(0),[東] 杉浦宏昭,シルクレーシング,6,7,10,14,155.6,117.6,484,0
303,1,1,2,キタサンブラック,牡5,57,武豊,35.2,1.9,1.0,540(-2),[西] 清水久詞,大野商事,1,1,1,1,153.6,118.39999999999999,540,-2
304,2,2,3,クイーンズリング,牝5,55,ルメール,35.1,33.1,8.0,474(0),[西] 吉村圭司,吉田千津,4,5,5,3,153.8,118.70000000000002,474,0
305,3,5,10,シュヴァルグラン,牡5,57,ボウマン,34.8,6.7,3.0,474(+4),[西] 友道康夫,佐々木主浩,8,8,8,8,153.8,119.00000000000001,474,4
306,4,7,14,スワーヴリチャード,牡3,55,Ｍ．デム,34.5,4.5,2.0,510(+8),[西] 庄野靖志,ＮＩＣＫＳ,10,12,10,8,153.8,119.30000000000001,510,8
307,5,6,11,ルージュバック,牝5,55,北村宏司,34.3,55.4,10.0,460(+6),[東] 大竹正博,キャロットファーム,16,16,16,16,154.0,119.7,460,6
308,6,4,7,シャケトラ,牡4,57,福永祐一,35.6,29.6,7.0,520(-4),[西] 角居勝彦,金子真人ホールディングス,2,2,2,2,154.1,118.5,520,-4
309,7,8,16,サウンズオブアース,牡6,57,Ｃ．デム,34.7,132.9,14.0,512(+10),[西] 藤岡健一,吉田照哉,15,14,13,15,154.2,119.49999999999999,512,10
310,8,4,8,レインボーライン,牡4,57,岩田康誠,34.9,44.7,9.0,444(-4),[西] 浅見秀一,三田昌宏,13,12,13,13,154.3,119.4,444,-4
311,9,3,6,サトノクロニクル,牡3,55,戸崎圭太,35.5,70.7,11.0,454(0),[西] 池江泰寿,サトミホースカンパニー,6,6,6,6,154.3,118.80000000000001,454,0
312,10,1,1,ヤマカツエース,牡5,57,池添謙一,35.8,24.6,6.0,510(+4),[西] 池添兼雄,山田和夫,2,3,3,3,154.4,118.60000000000001,510,4
313,11,7,13,ミッキークイーン,牝5,55,浜中俊,35.1,19.6,5.0,432(-10),[西] 池江泰寿,野田みづき,13,14,13,13,154.5,119.4,432,-10
314,12,2,4,ブレスジャーニー,牡3,55,三浦皇成,35.4,71.7,12.0,466(+4),[西] 佐々木晶,島川隆哉,10,10,10,11,154.6,119.19999999999999,466,4
315,13,6,12,サトノクラウン,牡5,57,ムーア,35.4,9.8,4.0,496(0),[東] 堀宣行,サトミホースカンパニー,10,10,10,11,154.6,119.19999999999999,496,0
316,14,3,5,トーセンビクトリー,牝5,55,田辺裕信,36.0,159.5,15.0,482(+10),[西] 角居勝彦,島川隆哉,6,6,6,3,154.8,118.80000000000001,482,10
317,15,8,15,カレンミロティック,セ9,57,川田将雅,36.5,204.8,16.0,460(+4),[西] 平田修,鈴木隆司,4,3,3,6,155.1,118.6,460,4
318,16,5,9,サクラアンプルール,牡6,57,蛯名正義,36.6,72.9,13.0,494(+12),[東] 金成貴史,さくらコマース,8,8,8,8,155.5,118.9,494,12
