0,
1,36.8
2,36.6
3,36.6
4,36.7
5,39.1
6,35.8
7,36.0
8,36.0
9,35.5
10,37.4
11,36.9
12,35.1
13,35.9
14,35.6
15,36.3
16,35.6
17,36.3
18,36.4
19,37.5
20,37.0
