,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/03/11,2中京1,晴,11,金鯱賞(G2),,16,4,7,118.2,15,12,藤岡康太,56,芝2000,良,**,1:59.7,0.5,**,13-13-13-13,36.5-35.1,34.6,478(-2),,,ヤマカツエース,
1,2017/02/12,2京都6,晴,11,京都記念(G2),,10,7,8,146.8,8,5,浜中俊,56,芝2200,稍,**,2:14.4,0.3,**,7-7-7-6,36.4-36.0,34.7,480(+8),,,サトノクラウン,620.0
2,2017/01/15,1中山5,晴,10,ニューイヤーS(OP),,16,1,1,35.0,10,10,北村友一,56,芝1600,良,**,1:34.2,0.7,**,15-13-13,35.1-34.9,34.6,472(0),,,マイネルアウラート,
3,2016/08/07,2小倉4,晴,11,小倉記念(G3),,12,4,4,5.2,3,9,川田将雅,55,芝2000,良,**,2:00.8,0.8,**,12-12-3-3,36.2-36.1,36.7,472(+4),,,クランモンタナ,
4,2016/07/16,3中京5,晴,11,マレーシアC(1600万下),,12,6,8,3.4,1,1,川田将雅,57,芝2000,良,**,2:00.3,0.0,**,6-6-2-2,37.2-34.8,34.6,468(+8),,,(ヴォルシェーブ),1845.2
5,2016/06/18,3東京5,晴,11,ジューンS(1600万下),,13,8,12,2.7,1,4,ルメール,57,芝2000,良,**,1:58.4,0.3,**,11-10-11,35.8-35.3,34.8,460(-4),,,ルミナスウォリアー,270.0
6,2016/05/08,1新潟4,晴,11,新潟大賞典(G3),,16,2,4,13.6,7,10,北村友一,55,芝2000,良,**,1:58.8,1.0,**,8-9,35.4-34.8,34.7,464(-8),,,パッションダンス,
7,2016/03/12,2中京1,晴,11,中日新聞杯(G3),,18,3,6,17.8,11,12,吉田隼人,55,芝2000,良,**,2:01.6,0.3,**,11-11-12-12,36.8-34.9,34.2,472(+4),,,サトノノブレス,
8,2016/02/21,1東京8,晴,10,アメジストS(1600万下),,13,2,2,3.2,1,1,ルメール,55,芝2000,重,**,2:02.9,-0.2,**,7-7-4,35.7-37.6,37.1,468(-14),,,(ケイアイチョウサン),1849.4
9,2016/01/09,1京都2,晴,10,寿S(1600万下),,11,8,10,2.4,1,3,ルメール,56,芝2000,良,**,1:59.1,0.2,**,5-4-4-3,36.2-35.1,33.8,482(+14),,,ロングリバイバル,463.6
10,2015/11/23,5京都7,曇,11,修学院S(1600万下),,10,7,8,3.6,2,2,ルメール,54,芝2000,良,**,2:02.0,0.2,**,4-2-2-2,38.9-33.2,33.2,468(+8),,,ハピネスダンサー,736.6
11,2015/10/25,4京都7,晴,8,北野特別(1000万下),,8,1,1,2.5,1,1,ルメール,55,芝2000,良,**,2:01.4,0.0,**,8-8-8-8,39.0-34.3,33.4,460(+4),,,(グランカマラード),1519.6
12,2015/10/04,4阪神9,晴,9,兵庫特別(1000万下),,8,2,2,5.3,2,2,北村友一,53,芝2400,良,**,2:28.3,0.0,**,4-4-4-2,37.3-35.8,35.2,456(+10),,,ペンタトニック,606.2
13,2015/09/06,2小倉12,曇,9,若戸大橋特別(500万下),,16,7,13,13.2,8,1,北村友一,54,芝1800,稍,**,1:48.4,0.0,**,12-11-7-8,36.9-34.8,34.2,446(0),,,(テーオービックバン),1089.2
14,2015/08/15,2小倉5,晴,7,3歳未勝利,,16,3,6,8.9,4,1,北村友一,56,芝1800,良,**,1:48.5,-0.2,**,5-5-7-8,37.0-35.2,34.8,446(-8),,,(ハッピーウィルス),460.0
15,2015/07/19,3中京6,曇,4,3歳未勝利,,15,3,5,13.8,6,3,北村友一,56,芝1600,稍,**,1:35.4,0.0,**,6-4-4,35.7-35.8,35.1,454(+2),,,ヘイムダル,120.0
16,2015/06/21,3阪神6,晴,3,3歳未勝利,,18,2,3,11.1,6,11,鮫島克駿,53,芝1400,稍,**,1:23.1,1.1,**,16-13,34.7-35.7,35.1,452(0),,,ケントオー,
17,2015/06/06,3阪神1,曇,7,3歳未勝利,,18,3,6,29.2,8,4,鮫島克駿,53,芝1400,良,**,1:22.4,0.2,**,11-12,34.8-35.6,35.0,452(-8),,,アルティマブラッド,69.0
18,2014/12/21,4中京6,晴,6,2歳未勝利,,18,1,1,16.2,7,12,川須栄彦,55,芝1400,重,**,1:26.0,1.6,**,14-9,34.5-37.2,37.5,460(-2),,,ムーンクレスト,
19,2014/12/14,4中京4,曇,5,2歳未勝利,,16,3,6,6.0,2,5,横山和生,55,芝1600,良,**,1:40.5,0.6,**,5-6-7,37.8-35.1,35.0,462(+6),,,ルグランパントル,50.0
20,2014/08/09,2小倉3,曇,2,2歳未勝利,,12,8,12,3.8,3,12,北村友一,54,芝1800,稍,**,1:53.5,4.6,**,4-2-6-11,36.0-37.4,41.6,456(+2),,,ジュヒョウ,
21,2014/07/26,3中京7,晴,5,2歳新馬,,16,4,7,10.7,4,4,北村友一,54,芝1600,良,**,1:39.4,0.6,**,11-12-11,37.5-36.3,35.8,454(0),,,ヒルノマレット,110.0
