,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/12/18,5阪神6,晴,11,朝日フューチュリティ(G1),,18,1,1,58.4,11,17,内田博幸,55,芝1600,良,**,1:37.5,2.1,**,3-4,35.6-34.8,36.6,490(+6),,,サトノアレス,
1,2016/11/05,5東京1,晴,11,京王杯2歳S(G2),,13,8,12,10.1,5,11,内田博幸,55,芝1400,良,**,1:22.8,0.9,**,6-4,35.7-34.2,34.8,484(+16),,,モンドキャンノ,
2,2016/07/24,2函館6,曇,11,函館2歳S(G3),,16,6,12,7.2,2,1,三浦皇成,54,芝1200,良,**,1:09.2,-0.1,**,3-3,33.5-35.7,35.5,468(-8),,,(モンドキャンノ),3157.4
3,2016/06/26,1函館4,小雨,5,2歳新馬,,14,3,4,2.4,1,1,三浦皇成,54,芝1200,稍,**,1:10.9,0.0,**,3-3,35.0-35.9,35.7,476(0),,,(エスケークラウン),700.0
