,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/08,1京都3,雨,11,日刊スポシンザン記念(G3),,15,3,5,2.4,1,3,Ｍ．デム,56,芝1600,重,**,1:37.8,0.2,**,7-7,34.5-38.1,37.5,478(+2),,,キョウヘイ,958.1
1,2016/12/11,4中京4,晴,10,こうやまき賞(500万下),,13,4,4,1.3,1,1,秋山真一,55,芝1600,良,**,1:35.4,-0.2,**,6-5-2,36.5-34.0,33.9,476(+2),,,(ジュンヴァリアス),1029.4
2,2016/10/22,4東京6,曇,9,アイビーS(OP),,9,8,9,2.4,1,2,川田将雅,55,芝1800,良,**,1:49.2,0.3,**,4-5-5,36.9-34.3,33.9,474(-2),,,ソウルスターリング,646.0
3,2016/08/21,2小倉8,晴,5,2歳新馬,,10,8,10,1.5,1,1,川田将雅,54,芝1800,良,**,1:53.1,-0.5,**,5-4-4-3,38.9-35.6,35.3,476(0),,,(ハッシュタグ),700.0
