,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/12/18,5阪神6,晴,11,朝日フューチュリティ(G1),,18,7,15,11.7,4,8,シュミノ,55,芝1600,良,**,1:36.3,0.9,**,3-6,35.6-34.8,35.3,454(+14),,,サトノアレス,
1,2016/10/16,4京都5,晴,9,もみじS(OP),,9,6,6,2.5,1,1,福永祐一,55,芝1400,良,**,1:22.0,-0.2,**,6-6,35.3-34.4,33.6,440(+8),,,(キャスパリーグ),1621.7
2,2016/08/20,2札幌1,雨,5,2歳新馬,,11,8,11,1.9,1,1,福永祐一,54,芝1500,稍,**,1:33.8,-0.7,**,3-3-2,31.8-36.7,36.5,432(0),,,(リープスプラウト),700.0
