,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/05,1中山1,晴,9,ジュニアC(OP),,16,4,8,57.3,10,10,吉田豊,57,芝1600,良,**,1:35.2,0.5,**,13-12-9,34.2-36.5,35.8,462(-2),,,ナイトバナレット,
1,2016/12/18,5阪神6,晴,11,朝日フューチュリティ(G1),,18,2,3,206.9,13,16,シュタル,55,芝1600,良,**,1:37.5,2.1,**,9-9,35.6-34.8,36.3,464(-1),,,サトノアレス,
2,2016/11/23,園田,曇,10,兵庫ジュニアグランプ(G2),,12,1,1,17.3,5,8,松若風馬,55,ダ1400,良,**,1:31.0,1.9,**,11-11-10-10,,40.2,465(+5),,,ローズジュレップ,
3,2016/08/06,2新潟3,晴,8,ダリア賞(OP),,7,3,3,4.7,3,1,Ｍ．デム,54,芝1400,良,**,1:23.4,-0.2,**,1-1,36.4-34.4,34.4,460(0),,,(マイネルバールマン),1616.1
4,2016/07/10,3中京4,晴,1,2歳未勝利,,13,4,4,5.7,2,1,松若風馬,54,芝1600,重,**,1:37.4,-0.2,**,1-1-1,36.1-36.1,36.1,460(-2),,,(クリスタルバブルス),500.0
5,2016/06/25,3阪神7,曇,1,2歳未勝利,,10,1,1,4.3,3,3,松若風馬,54,芝1600,重,**,1:37.9,0.3,**,6-8,35.3-37.1,36.8,462(0),,,シゲルボブキャット,130.0
6,2016/06/12,3阪神4,曇,5,2歳新馬,,12,6,8,4.3,2,2,松若風馬,54,芝1200,良,**,1:10.2,0.3,**,9-5,35.2-34.7,34.5,462(0),,,クインズサリナ,280.0
