,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/28,1中京5,晴,10,ごぎょう賞(500万下),,16,3,6,5.1,3,1,幸英明,56,ダ1200,良,**,1:13.0,-0.1,**,2-2,35.3-37.7,37.6,494(-2),,,(アスタースウィング),1037.1
1,2016/12/03,4中京1,晴,10,寒椿賞(500万下),,11,8,10,6.9,4,4,鮫島克駿,55,ダ1400,良,**,1:25.4,0.7,**,4-6,33.6-39.0,39.3,496(+2),,,シゲルベンガルトラ,150.0
2,2016/11/13,3福島4,晴,1,2歳未勝利,,16,7,13,1.4,1,1,鮫島克駿,54,ダ1150,重,**,1:08.9,-0.8,**,2-1,31.6-37.3,37.3,494(+8),,,(リンガスネオ),500.0
3,2016/10/29,4京都8,曇,4,2歳新馬,,14,7,11,2.9,2,2,ムーア,55,ダ1200,稍,**,1:12.4,0.0,**,2-2,36.5-35.9,35.7,486(0),,,ヒップホップスワン,280.0
