,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/05,1中山1,晴,9,ジュニアC(OP),,16,6,12,3.2,1,2,柴田善臣,56,芝1600,良,**,1:34.7,0.0,**,2-4-3,34.2-36.5,36.1,484(+4),,,ナイトバナレット,771.0
1,2016/11/05,5東京1,晴,11,京王杯2歳S(G2),,13,6,9,9.8,4,3,柴田善臣,55,芝1400,良,**,1:22.5,0.6,**,4-2,35.7-34.2,34.6,480(+8),,,モンドキャンノ,957.0
2,2016/09/10,4中山1,晴,9,アスター賞(500万下),,12,8,12,3.6,2,1,柴田善臣,54,芝1600,良,**,1:35.6,-0.2,**,3-2-2,36.1-34.9,34.8,472(-2),,,(サクセスムーン),1026.6
3,2016/08/21,2新潟8,晴,1,2歳未勝利,,17,5,9,2.5,1,1,柴田善臣,54,芝1400,良,**,1:21.5,-0.1,**,1-1,33.9-35.8,35.8,474(+10),,,(ドウディ),500.0
4,2016/07/17,2福島6,曇,5,2歳新馬,,15,7,12,3.4,1,2,柴田善臣,54,芝1800,良,**,1:52.1,0.2,**,1-2-1-2,36.4-35.7,35.9,464(0),,,サルヴェレジーナ,280.0
