,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/21,1中京3,晴,10,なずな賞(500万下),,16,4,8,3.8,1,1,松山弘平,56,芝1400,良,**,1:22.5,-0.1,**,5-5,34.9-35.5,35.0,508(-6),,,(デスティニーソング),1035.0
1,2016/11/19,5東京5,曇,6,2歳500万下,,15,8,15,4.6,3,5,松岡正海,55,芝1400,稍,**,1:24.0,0.4,**,2-2,36.6-34.7,35.0,514(+6),,,メローブリーズ,72.0
2,2016/11/05,5東京1,晴,11,京王杯2歳S(G2),,13,3,3,33.3,8,6,松岡正海,55,芝1400,良,**,1:22.6,0.7,**,2-4,35.7-34.2,34.6,508(+6),,,モンドキャンノ,
3,2016/10/23,4東京7,晴,4,2歳新馬,,15,5,8,3.9,2,1,松岡正海,55,芝1400,良,**,1:24.1,-0.3,**,3-3,36.3-34.6,34.4,502(0),,,(ブライティアサイト),700.0
