,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/12/03,5阪神1,晴,1,2歳未勝利,,15,2,3,2.4,1,1,幸英明,55,ダ1400,良,**,1:25.6,0.0,**,1-1,35.0-37.9,37.9,486(+6),,,(アンデスクイーン),500.0
1,2016/11/13,5京都4,晴,1,2歳未勝利,,12,5,5,4.3,2,2,池添謙一,55,ダ1400,良,**,1:25.7,0.6,**,1-1,36.1-36.7,37.3,480(+4),,,メイショウギガース,200.0
2,2016/10/23,4京都7,曇,3,2歳未勝利,,9,6,6,4.9,3,5,池添謙一,55,芝1600,良,**,1:35.6,0.3,**,7-7,34.8-36.2,35.8,476(0),,,セイイーグル,50.0
3,2016/10/01,4阪神7,曇,2,2歳未勝利,,18,8,17,13.4,7,4,池添謙一,55,芝1400,稍,**,1:23.4,0.1,**,5-3,35.2-36.2,36.0,476(+10),,,ブリラーレ,75.0
4,2016/08/28,2札幌4,晴,1,2歳未勝利,,9,8,9,8.0,3,7,池添謙一,54,芝1800,良,**,1:53.1,1.5,**,5-6-5-5,37.0-35.3,36.4,466(-10),,,サングレーザー,
5,2016/07/31,1札幌2,晴,5,2歳新馬,,8,6,6,4.6,3,4,池添謙一,54,芝1800,良,**,1:52.2,0.8,**,2-2-2-1,39.1-34.9,35.4,476(0),,,ソウルスターリング,110.0
