,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/14,1京都4,曇,9,白梅賞(500万下),,10,2,2,10.1,3,2,福永祐一,56,芝1600,良,**,1:36.1,0.3,**,4-3,35.5-35.8,35.6,460(+8),,,オールザゴー,407.8
1,2016/12/23,5阪神7,晴,9,千両賞(500万下),,15,2,2,16.8,8,5,北村友一,55,芝1600,重,**,1:37.1,0.6,**,9-10,36.0-35.5,35.6,452(-2),,,アルアイン,100.0
2,2016/12/03,5阪神1,晴,4,2歳未勝利,,12,7,10,4.0,2,1,北村友一,55,芝1600,良,**,1:35.7,0.0,**,6-6,36.3-34.9,34.4,454(+2),,,(バルベーラ),500.0
3,2016/11/12,5京都3,晴,3,2歳未勝利,,14,8,13,5.1,3,3,シュタル,55,芝1600,良,**,1:35.1,0.4,**,6-4,35.0-35.8,35.8,452(+4),,,ヒロシゲグローリー,130.0
4,2016/10/23,4京都7,曇,3,2歳未勝利,,9,3,3,1.9,1,6,浜中俊,55,芝1600,良,**,1:35.6,0.3,**,5-5,34.8-36.2,36.1,448(-6),,,セイイーグル,
5,2016/10/09,4京都2,曇,5,2歳新馬,,10,7,7,2.2,1,3,浜中俊,55,芝1800,重,**,1:51.1,0.2,**,4-4,36.8-35.4,35.2,454(0),,,エーティーラッセン,180.0
