,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/08,1京都3,雨,11,日刊スポシンザン記念(G3),,15,5,9,27.4,8,1,高倉稜,56,芝1600,重,**,1:37.6,-0.2,**,15-12,34.5-38.1,36.7,428(-2),,,(タイセイスターリー),3856.7
1,2016/12/23,5阪神7,晴,9,千両賞(500万下),,15,1,1,60.5,12,2,高倉稜,55,芝1600,重,**,1:36.7,0.2,**,15-14,36.0-35.5,34.9,430(-2),,,アルアイン,409.8
2,2016/12/03,5阪神1,晴,9,万両賞(500万下),,10,5,5,10.3,4,8,高倉稜,55,芝1400,良,**,1:22.6,0.5,**,2-3,34.4-36.1,36.4,432(+16),,,カラクレナイ,
3,2016/09/04,2小倉12,曇,11,小倉2歳S(G3),,15,7,13,10.0,5,4,高倉稜,54,芝1200,良,**,1:09.1,1.1,**,13-12,33.3-34.7,34.7,416(0),,,レーヌミノル,470.0
4,2016/07/30,2小倉1,晴,1,2歳未勝利,,11,3,3,3.4,2,1,高倉稜,54,芝1200,良,**,1:09.0,-0.2,**,5-4,33.7-35.3,34.9,416(0),,,(ベルカプリ),500.0
5,2016/07/02,3中京1,晴,5,2歳新馬,,16,3,6,48.6,9,4,高倉稜,54,芝1400,良,**,1:22.4,0.8,**,10-10,34.9-35.5,34.6,416(0),,,メイショウソウビ,110.0
