0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,3,6,ローズキングダム,牡3,55,武豊,2:25.2,1.3/4,**,5-7-5-6,34.2,8.8,4,462(-2),,,,[西] 橋口弘次,サンデーレーシング,25378.0
2,2(降),8,16,ブエナビスタ,牝4,55,スミヨン,2:24.9,,**,12-14-12-10,33.5,1.9,1,462(+6),,,,[西] 松田博資,サンデーレーシング,10108.0
3,3,1,2,ヴィクトワールピサ,牡3,55,ギュイヨ,2:25.2,ハナ,**,2-2-2-2,34.4,28.2,8,510(0),,,,[西] 角居勝彦,市川義美,6354.0
4,4,4,8,ジャガーメイル,牡6,57,ムーア,2:25.3,3/4,**,15-15-16-16,33.7,20.4,7,484(0),,,,[東] 堀宣行,吉田和美,3800.0
5,5,4,7,ペルーサ,牡3,55,安藤勝己,2:25.3,クビ,**,18-18-18-18,33.5,8.4,3,510(+8),,,,[東] 藤沢和雄,山本英俊,2500.0
6,6,7,13,メイショウベルーガ,牝5,55,池添謙一,2:25.4,1/2,**,8-12-8-8,34.2,63.1,11,498(-10),,,,[西] 池添兼雄,松本好雄,
7,7,7,14,オウケンブルースリ,牡5,57,ルメール,2:25.4,ハナ,**,17-17-16-16,33.8,15.8,6,492(-12),,,,[西] 音無秀孝,福井明,
8,8,5,10,エイシンフラッシュ,牡3,55,内田博幸,2:25.6,1.1/4,**,2-4-2-2,34.8,12.3,5,488(+2),,,,[西] 藤原英昭,平井豊光,
9,9,8,18,シリュスデゼーグル,セ4,57,ブロンデ,2:25.6,ハナ,**,15-15-12-14,34.1,109.3,16,458(0),,,,[外] バランド,Ｊ・Ｃ．デュプイ,
10,10,6,12,ジョシュアツリー,牡3,55,オドノヒ,2:25.7,1/2,**,12-8-8-10,34.4,41.2,9,498(0),,,,[外] オブライ,Ｋ．ビン・ハマド,
11,11,2,3,ダンディーノ,牡3,55,マルレナ,2:25.8,3/4,**,12-12-12-14,34.3,131.2,18,488(0),,,,[外] ギヴン,エリート・レーシング・クラブ,
12,12,2,4,シンゲン,牡7,57,藤田伸二,2:25.8,アタマ,**,1-1-1-1,35.3,46.5,10,500(+6),,,,[東] 戸田博文,吉田千津,
13,13,3,5,モアズウェルズ,牡6,57,マイヨ,2:26.0,1.1/2,**,8-10-8-10,34.7,99.0,15,502(0),,,,[外] ギブソン,Ｃ．オフリン,
14,14,6,11,ナカヤマフェスタ,牡4,57,蛯名正義,2:26.1,クビ,**,5-5-5-4,35.2,7.7,2,462(0),,,,[東] 二ノ宮敬,和泉信一,
15,15,5,9,ティモス,牡5,57,ペリエ,2:26.3,1.1/2,**,8-10-12-10,34.9,120.3,17,488(0),,,,[外] ドゥーメ,モラタラ侯爵夫人,
16,16,1,1,ヴォワライシ,牡5,57,Ｍデムー,2:26.5,1,**,8-5-5-6,35.5,67.3,12,448(0),,,,[外] カルーソ,スクーデリアインコリンクス,
17,17,8,17,マリヌス,牡4,57,ボニヤ,2:27.6,7,**,5-8-8-8,36.5,86.6,13,482(0),,,,[外] ヘッド,Ｓ．アルロマイシ,
18,18,7,15,フィフティープルーフ,セ4,57,スタイン,2:29.3,大,**,2-2-2-4,38.4,89.5,14,578(0),,,,[外] ブラック,Ｂ．ハッツェル,
