0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,6,6,ディープインパクト,牡4,57,武豊,2:25.1,,**,11-11-11-7,33.5,1.3,1,436(0),,,,[西] 池江泰郎,金子真人ホールディングス,25235.2
2,2,6,7,ドリームパスポート,牡3,55,岩田康誠,2:25.4,2,**,5-4-5-4,34.1,16.2,5,466(0),,,,[西] 松田博資,ジョイ・レースホース,10067.2
3,3,3,3,ウィジャボード,牝5,55,デットー,2:25.5,1/2,**,10-10-9-7,33.9,9.5,3,466(0),,,,[外] ダンロッ,ダービー卿,6333.6
4,4,8,10,コスモバルク,牡5,57,五十嵐冬,2:25.7,1,**,1-1-1-1,34.9,40.9,6,510(+10),,,,[地] 田部和則,ビッグレッドファーム,3800.0
5,5,7,8,フサイチパンドラ,牝3,53,福永祐一,2:25.9,1.1/2,**,4-4-3-3,34.8,52.6,8,502(0),,,,[西] 白井寿昭,関口房朗,2500.0
6,6,8,11,メイショウサムソン,牡3,55,石橋守,2:25.9,ハナ,**,6-6-6-4,34.5,16.0,4,514(-4),,,,[西] 瀬戸口勉,松本好雄,
7,7,7,9,フリードニア,牝4,55,ジレ,2:26.0,1/2,**,9-9-9-11,34.3,90.2,9,424(0),,,,[外] ハモンド,ニアルコス・ファミリー,
8,8,2,2,スウィフトカレント,牡5,57,横山典弘,2:26.1,3/4,**,7-6-6-7,34.6,43.3,7,482(-2),,,,[西] 森秀行,社台レースホース,
9,9,5,5,トーセンシャナオー,牡3,55,後藤浩輝,2:26.7,3.1/2,**,2-2-2-2,35.8,151.1,10,446(-6),,,,[西] 森秀行,島川隆哉,
10,10,1,1,ハーツクライ,牡5,57,ルメール,2:27.7,6,**,2-3-3-4,36.4,5.8,2,500(0),,,,[西] 橋口弘次,社台レースホース,
11,11,4,4,ユキノサンロイヤル,牡9,57,田中勝春,2:28.3,3.1/2,**,8-8-6-7,36.8,217.8,11,474(+8),,,,[東] 増沢末夫,井上基之,
