0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,1,2,ブエナビスタ,牝5,55,岩田康誠,2:24.2,,**,6-6-9-6,33.9,3.4,2,464(+2),,,,[西] 松田博資,サンデーレーシング,25344.4
2,2,8,16,トーセンジョーダン,牡5,57,ウィリア,2:24.2,クビ,**,2-2-2-3,34.3,14.1,6,478(0),,,,[西] 池江泰寿,島川隆哉,10098.4
3,3,1,1,ジャガーメイル,牡7,57,四位洋文,2:24.5,1.3/4,**,9-8-12-9,34.0,106.5,14,484(-6),,,,[東] 堀宣行,吉田和美,6349.2
4,4,3,5,トレイルブレイザー,牡4,57,武豊,2:24.6,1/2,**,3-3-4-4,34.6,44.0,11,488(-2),,,,[西] 池江泰寿,前田幸治,3800.0
5,5,6,12,ウインバリアシオン,牡3,55,安藤勝己,2:24.7,3/4,**,13-15-2-2,35.0,14.7,7,512(-4),,,,[西] 松永昌博,ウイン,2500.0
6,6,7,13,デインドリーム,牝3,53,シュタル,2:24.7,クビ,**,13-11-12-13,34.0,3.3,1,426(0),,,,[外] シールゲ,ブルク・エバーシュタイン牧場＆吉田照哉,
7,7,7,14,シャレータ,牝3,53,ルメール,2:24.9,1.1/4,**,6-8-9-9,34.4,36.4,10,444(0),,,,[外] ドゥロワ,アガ・カーン殿下,
8,8,8,15,エイシンフラッシュ,牡4,57,池添謙一,2:24.9,クビ,**,9-11-11-9,34.4,11.3,5,492(+2),,,,[西] 藤原英昭,平井豊光,
9,9,2,3,ローズキングダム,牡4,57,メンディ,2:25.0,3/4,**,6-6-7-6,34.7,22.0,9,462(+2),,,,[西] 橋口弘次,サンデーレーシング,
10,10,2,4,オウケンブルースリ,牡6,57,蛯名正義,2:25.0,アタマ,**,11-14-15-14,34.1,46.0,12,488(0),,,,[西] 音無秀孝,福井明,
11,11,3,6,トゥザグローリー,牡4,57,福永祐一,2:25.0,ハナ,**,4-4-4-4,34.9,16.3,8,524(-4),,,,[西] 池江泰寿,キャロットファーム,
12,12,5,9,サラリンクス,牝4,55,スミヨン,2:25.1,クビ,**,13-13-14-14,34.3,94.7,13,404(0),,,,[外] ハモンド,ロバート・Ｇ．エーンルート夫人,
13,13,4,8,ヴィクトワールピサ,牡4,57,Ｍデムー,2:25.8,4,**,16-16-15-14,35.0,10.9,4,508(0),,,,[西] 角居勝彦,市川義美,
14,14,6,11,ミッションアプルーヴド,牡7,57,エスピノ,2:25.9,3/4,**,1-1-1-1,36.2,168.5,15,522(0),,,,[外] チャタポ,Ｔ．チャタポール,
15,15,5,10,キングトップガン,牡8,57,戸崎圭太,2:26.5,3.1/2,**,4-4-4-6,36.2,240.0,16,508(+2),,,,[西] 鮫島一歩,池田豊治,
16,16,4,7,ペルーサ,牡4,57,横山典弘,2:26.7,1.1/4,**,11-8-7-9,36.2,7.5,3,524(+4),,,,[東] 藤沢和雄,山本英俊,
