0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,7,15,ショウナンパンドラ,牝4,55,池添謙一,2:24.7,,**,9-9-8-11,33.9,9.2,4,442(+4),,,,[西] 高野友和,国本哲秀,30378.0
2,2,3,6,ラストインパクト,牡5,57,ムーア,2:24.7,クビ,**,11-12-8-11,33.9,23.9,7,494(+2),,,,[西] 松田博資,シルクレーシング,12108.0
3,3,1,1,ラブリーデイ,牡5,57,川田将雅,2:24.8,クビ,**,6-6-6-5,34.3,2.7,1,486(0),,,,[西] 池江泰寿,金子真人ホールディングス,7554.0
4,4,2,4,ジャングルクルーズ,セ6,57,北村宏司,2:25.0,1.1/4,**,13-14-11-15,33.9,166.9,17,510(0),,,,[東] 藤沢和雄,窪田芳郎,4500.0
5,5,5,10,サウンズオブアース,牡4,57,Ｍ．デム,2:25.0,ハナ,**,7-7-8-5,34.4,11.3,5,502(-2),,,,[西] 藤岡健一,吉田照哉,3000.0
6,6,4,8,イラプト,牡3,55,パスキエ,2:25.0,クビ,**,4-4-5-5,34.5,13.9,6,524(0),,,,[外] グラファ,ニアルコス・ファミリー,
7,7,2,3,ワンアンドオンリー,牡4,57,内田博幸,2:25.0,アタマ,**,3-4-4-3,34.6,67.7,13,498(0),,,,[西] 橋口弘次,前田幸治,
8,8,6,11,ミッキークイーン,牝3,53,浜中俊,2:25.0,ハナ,**,9-9-11-11,34.2,5.0,3,428(-6),,,,[西] 池江泰寿,野田みづき,
9,9,5,9,ダービーフィズ,牡5,57,田辺裕信,2:25.1,クビ,**,7-7-6-10,34.4,200.1,18,468(+2),,,,[東] 小島太,社台レースホース,
10,10,6,12,ゴールドシップ,牡6,57,横山典弘,2:25.1,クビ,**,17-17-15-5,34.5,4.7,2,510(+4),,,,[西] 須貝尚介,合同会社小林英一ホールディングス,
11,11,8,18,ナイトフラワー,牝3,53,シュタル,2:25.2,クビ,**,14-13-11-15,34.2,40.1,9,468(0),,,,[外] シールゲ,シュタル・ニッツァ,
12,12,4,7,ショウナンバッハ,牡4,57,戸崎圭太,2:25.2,クビ,**,18-18-18-18,33.7,108.6,15,442(+2),,,,[東] 上原博之,国本哲秀,
13,13,7,13,ヒットザターゲット,牡7,57,小牧太,2:25.3,クビ,**,16-16-17-17,34.0,69.8,14,514(+2),,,,[西] 加藤敬二,前田晋二,
14,14,1,2,トリップトゥパリス,セ4,57,ベリー,2:25.3,アタマ,**,15-15-15-11,34.4,49.1,11,462(0),,,,[外] ダンロッ,ラ・グレンジ・パートナーシップ,
15,15,8,16,カレンミロティック,セ7,57,蛯名正義,2:25.3,クビ,**,1-1-1-1,35.9,148.9,16,452(-2),,,,[西] 平田修,鈴木隆司,
16,16,8,17,アドマイヤデウス,牡4,57,岩田康誠,2:25.9,3.1/2,**,2-2-2-2,35.9,42.8,10,480(0),,,,[西] 橋田満,近藤利一,
17,17,3,5,ペルーサ,牡8,57,ルメール,2:26.1,1.1/4,**,11-11-11-5,35.5,66.3,12,516(+4),,,,[東] 藤沢和雄,山本英俊,
18,18,7,14,イトウ,牡4,57,ミナリク,2:29.1,大,**,4-3-3-3,38.7,37.1,8,446(0),,,,[外] カルヴァ,シュレンダーハン牧場,
