0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,4,7,ジェンティルドンナ,牝4,55,ムーア,2:26.1,,**,3-3-3-4,33.9,2.1,1,470(0),,,,[西] 石坂正,サンデーレーシング,25378.0
2,2,5,9,デニムアンドルビー,牝3,53,浜中俊,2:26.1,ハナ,**,12-14-13-13,33.2,29.8,7,434(-6),,,,[西] 角居勝彦,金子真人ホールディングス,10108.0
3,3,3,5,トーセンジョーダン,牡7,57,ビュイッ,2:26.1,クビ,**,2-2-2-2,34.1,100.3,11,480(+4),,,,[西] 池江泰寿,島川隆哉,6354.0
4,4,3,6,アドマイヤラクティ,牡5,57,ウィリア,2:26.2,3/4,**,9-9-10-10,33.5,21.1,4,484(+2),,,,[西] 梅田智之,近藤利一,3800.0
5,5,5,10,ドゥーナデン,牡7,57,スペンサ,2:26.3,クビ,**,14-11-10-10,33.6,117.3,13,464(0),,,,[外] デルザン,パール・ブラッドストック,2500.0
6,6,6,11,ルルーシュ,牡5,57,福永祐一,2:26.3,クビ,**,3-3-5-4,34.0,25.7,6,504(0),,,,[東] 藤沢和雄,山本英俊,
7,7,1,1,ヴィルシーナ,牝4,55,岩田康誠,2:26.3,ハナ,**,3-3-3-4,34.0,49.3,9,454(-12),,,,[西] 友道康夫,佐々木主浩,
8,8,2,3,アンコイルド,牡4,57,後藤浩輝,2:26.4,クビ,**,6-8-6-7,33.9,21.3,5,484(+6),,,,[西] 矢作芳人,大樹ファーム,
9,9,1,2,ナカヤマナイト,牡5,57,柴田善臣,2:26.5,1/2,**,6-6-6-7,34.0,54.4,10,494(+8),,,,[東] 二ノ宮敬,和泉信一,
10,10,2,4,エイシンフラッシュ,牡6,57,Ｍ．デム,2:26.6,1/2,**,1-1-1-1,34.6,4.9,3,490(+2),,,,[西] 藤原英昭,平井克彦,
11,11,8,16,ヒットザターゲット,牡5,57,武豊,2:26.6,ハナ,**,11-9-6-2,34.6,35.3,8,512(0),,,,[西] 加藤敬二,前田晋二,
12,12,6,12,ホッコーブレーヴ,牡5,57,三浦皇成,2:26.7,クビ,**,9-11-10-10,34.0,186.2,16,486(+2),,,,[東] 松永康利,矢部幸一,
13,13,7,14,シメノン,セ6,57,ヒューズ,2:26.7,ハナ,**,12-11-13-13,33.8,163.8,15,466(0),,,,[外] マリンズ,ウィックロー・ブラッドストック,
14,14,8,15,スマートギア,牡8,57,戸崎圭太,2:26.9,1.1/4,**,16-16-17-16,33.6,391.2,17,456(-8),,,,[西] 佐山優,大川徹,
15,15,7,13,ゴールドシップ,牡4,57,内田博幸,2:27.5,3.1/2,**,16-17-13-13,34.7,3.4,2,500(+2),,,,[西] 須貝尚介,小林英一,
16,16,4,8,ファイヤー,牡5,57,横山典弘,2:28.0,3,**,15-15-16-16,34.7,156.7,14,520(+2),,,,[西] 本田優,深見富朗,
17,17,8,17,ジョシュアツリー,牡6,57,ムルタ,2:28.0,クビ,**,6-6-6-7,35.5,112.4,12,510(0),,,,[外] ダンロッ,Ｋ．Ｋ．アル・ナブーダ＆Ｋ．アルバホウ,
