0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,2,4,エピファネイア,牡4,57,スミヨン,2:23.1,,**,3-2-3-4,35.0,8.9,4,492(+2),,,,[西] 角居勝彦,キャロットファーム,25382.2
2,2,1,1,ジャスタウェイ,牡5,57,福永祐一,2:23.8,4,**,10-8-8-8,35.1,6.7,3,498(0),,,,[西] 須貝尚介,大和屋暁,10109.2
3,3,7,15,スピルバーグ,牡5,57,北村宏司,2:23.9,1/2,**,15-16-15-13,34.8,11.3,6,508(+2),,,,[東] 藤沢和雄,山本英俊,6354.6
4,4,2,3,ジェンティルドンナ,牝5,55,ムーア,2:24.0,3/4,**,7-7-6-5,35.5,3.6,1,472(+2),,,,[西] 石坂正,サンデーレーシング,3800.0
5,5,3,6,ハープスター,牝3,53,川田将雅,2:24.0,クビ,**,14-13-12-12,35.0,4.1,2,476(0),,,,[西] 松田博資,キャロットファーム,2500.0
6,6,1,2,アイヴァンホウ,牡4,57,ミナリク,2:24.1,1/2,**,13-11-10-8,35.3,71.8,12,534(0),,,,[外] カルヴァ,シュレンダーハン牧場,
7,7,5,10,ワンアンドオンリー,牡3,55,横山典弘,2:24.2,クビ,**,12-11-10-8,35.4,14.3,8,488(+2),,,,[西] 橋口弘次,前田幸治,
8,8,8,16,フェノーメノ,牡5,57,岩田康誠,2:24.2,ハナ,**,10-13-14-11,35.3,18.2,9,494(-2),,,,[東] 戸田博文,サンデーレーシング,
9,9,5,9,イスラボニータ,牡3,55,蛯名正義,2:24.4,1.1/4,**,8-8-8-5,35.9,9.5,5,472(-2),,,,[東] 栗田博憲,社台レースホース,
10,10,6,12,タマモベストプレイ,牡4,57,津村明秀,2:24.6,1.1/4,**,2-2-2-1,36.7,127.8,13,484(+2),,,,[西] 南井克巳,タマモ,
11,11,4,8,デニムアンドルビー,牝4,55,浜中俊,2:24.8,1.1/2,**,17-17-18-16,35.5,13.0,7,442(-2),,,,[西] 角居勝彦,金子真人ホールディングス,
12,12,3,5,ヒットザターゲット,牡6,57,武豊,2:25.2,2.1/2,**,15-15-16-13,36.0,45.5,10,514(+2),,,,[西] 加藤敬二,前田晋二,
13,13,8,17,アンコイルド,牡5,57,戸崎圭太,2:25.6,2.1/2,**,3-4-4-2,37.6,259.9,17,494(-4),,,,[西] 矢作芳人,大樹ファーム,
14,14,6,11,トーセンジョーダン,牡8,57,ブドー,2:26.0,2.1/2,**,5-5-5-5,37.6,169.9,16,480(0),,,,[西] 池江泰寿,島川隆哉,
15,15,7,13,ディサイファ,牡5,57,ブノワ,2:26.0,クビ,**,8-10-12-13,36.8,138.5,14,500(+2),,,,[東] 小島太,Ｈ．Ｈ．シェイク・モハメド,
16,16,4,7,アップウィズザバーズ,牡4,57,ダシルヴ,2:27.5,9,**,17-17-16-17,38.1,159.2,15,482(0),,,,[外] ピアース,サムソンファーム,
17,17,7,14,サトノシュレン,牡6,57,川島信二,2:30.3,大,**,1-1-1-2,42.3,279.8,18,488(+2),,,,[西] 村山明,里見治,
18,中,8,18,トレーディングレザー,牡4,57,マニング,,,**,5-5-7-18,,69.3,11,478(0),,,,[外] ボルジャ,ゴドルフィン,
