0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,8,15,ジェンティルドンナ,牝3,53,岩田康誠,2:23.1,,**,2-2-3-6,32.8,6.6,3,460(-14),,,,[西] 石坂正,サンデーレーシング,25357.0
2,2,8,17,オルフェーヴル,牡4,57,池添謙一,2:23.1,ハナ,**,12-13-10-3,32.9,2.0,1,458(0),,,,[西] 池江泰寿,サンデーレーシング,10102.0
3,3,7,13,ルーラーシップ,牡5,57,ウィリア,2:23.5,2.1/2,**,13-11-13-15,32.7,5.4,2,506(-8),,,,[西] 角居勝彦,サンデーレーシング,6351.0
4,4,5,10,ダークシャドウ,牡5,57,Ｍ．デム,2:23.5,アタマ,**,13-14-13-12,32.8,18.6,6,512(-4),,,,[東] 堀宣行,飯塚知一,3800.0
5,5,2,4,フェノーメノ,牡3,55,蛯名正義,2:23.9,2.1/2,**,4-5-5-7,33.5,8.0,4,492(-4),,,,[東] 戸田博文,サンデーレーシング,2500.0
6,6,8,16,トーセンジョーダン,牡6,57,スミヨン,2:23.9,アタマ,**,2-2-2-2,33.8,55.6,10,484(+6),,,,[西] 池江泰寿,島川隆哉,
7,7,1,1,ビートブラック,牡5,57,石橋脩,2:24.0,3/4,**,1-1-1-1,35.6,43.2,8,514(+2),,,,[西] 中村均,前田幸治,
8,8,3,6,レッドカドー,セ6,57,モッセ,2:24.1,クビ,**,11-11-10-12,33.4,152.5,13,494(0),,,,[外] ダンロッ,Ｒ．Ｊ．アカーリ,
9,9,4,8,エイシンフラッシュ,牡5,57,ルメール,2:24.1,クビ,**,8-8-8-7,33.7,13.9,5,488(+2),,,,[西] 藤原英昭,平井豊光,
10,10,2,3,ジャガーメイル,牡8,57,ビュイッ,2:24.3,1.1/4,**,16-16-16-16,33.3,65.9,11,486(0),,,,[東] 堀宣行,吉田和美,
11,11,6,11,ジャッカルベリー,牡6,57,オドノヒ,2:24.5,1.1/4,**,15-15-13-7,34.1,159.0,15,502(0),,,,[外] ボッティ,ＡＴＢジャッカルベリー・シンジケート,
12,12,3,5,マウントアトス,セ5,57,ムーア,2:24.6,3/4,**,8-8-10-12,33.9,89.4,12,486(0),,,,[外] クマーニ,Ｍ．クーカッシュ,
13,13,7,14,ソレミア,牝4,55,ペリエ,2:24.7,1/2,**,4-4-4-3,34.5,22.7,7,438(0),,,,[外] ラフォン,ヴェルテメール・エ・フレール,
14,14,5,9,オウケンブルースリ,牡7,57,浜中俊,2:24.9,1.1/4,**,7-6-6-7,34.5,207.8,17,484(0),,,,[西] 音無秀孝,福井明,
15,15,4,7,メイショウカンパク,牡5,57,内田博幸,2:25.0,1/2,**,17-17-16-16,33.9,154.0,14,482(-2),,,,[西] 荒川義之,松本好雄,
16,16,6,12,ローズキングダム,牡5,57,武豊,2:25.4,2.1/2,**,10-10-8-3,35.2,48.2,9,454(-16),,,,[西] 橋口弘次,サンデーレーシング,
17,17,1,2,スリプトラ,牡6,57,カラン,2:27.7,大,**,6-6-6-11,37.2,202.5,16,526(0),,,,[外] ヴェリア,アフマド・シャー殿下,
