0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,3,5,ウオッカ,牝5,55,ルメール,2:22.4,,**,4-3-4-5,34.8,3.6,1,494(-4),,,,[西] 角居勝彦,谷水雄三,25386.4
2,2,5,10,オウケンブルースリ,牡4,57,内田博幸,2:22.4,ハナ,**,16-16-15-17,34.1,4.7,2,482(0),,,,[西] 音無秀孝,福井明,10110.4
3,3,3,6,レッドディザイア,牝3,53,四位洋文,2:22.6,1.1/2,**,9-10-11-11,34.7,9.6,6,478(-2),,,,[西] 松永幹夫,東京ホースレーシング,6355.2
4,4,8,16,コンデュイット,牡4,57,ムーア,2:22.8,1.1/4,**,13-13-11-9,35.0,4.9,3,466(0),,,,[外] スタウト,バリーマコールスタッド,3800.0
5,5,2,3,エアシェイディ,牡8,57,後藤浩輝,2:23.0,1.1/4,**,13-13-15-13,35.0,44.8,11,494(0),,,,[東] 伊藤正徳,ラッキーフィールド,2500.0
6,6,2,4,エイシンデピュティ,牡7,57,戸崎圭太,2:23.1,1/2,**,3-3-2-2,35.7,39.0,9,510(0),,,,[西] 野元昭,平井豊光,
7,7,4,7,ジャストアズウェル,牡6,57,ルパルー,2:23.2,1/2,**,9-10-11-13,35.2,47.1,12,486(0),,,,[外] シェパー,Ｊ．シェパード,
8,8,4,8,マイネルキッツ,牡6,57,松岡正海,2:23.2,ハナ,**,18-17-18-17,34.9,32.1,7,498(+10),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,
9,9,5,9,リーチザクラウン,牡3,55,武豊,2:23.4,1.1/2,**,2-1-1-1,36.1,8.6,5,506(0),,,,[西] 橋口弘次,臼田浩義,
10,10,1,2,ネヴァブション,牡6,57,北村宏司,2:23.7,2,**,5-5-6-9,35.9,145.3,18,490(+16),,,,[東] 伊藤正徳,ティーエイチ,
11,11,6,12,シンティロ,牡4,57,モッセ,2:23.8,クビ,**,5-7-6-7,36.1,115.3,15,456(0),,,,[外] ハノン,Ｌ．ルーカス,
12,12,8,17,コスモバルク,牡8,57,五十嵐冬,2:24.4,3.1/2,**,16-17-15-13,36.3,123.9,17,510(+6),,,,[地] 田部和則,ビッグレッドファーム,
13,13,8,18,スクリーンヒーロー,牡5,57,Ｍデムー,2:24.5,1/2,**,9-9-6-5,36.9,7.5,4,490(0),,,,[東] 鹿戸雄一,吉田照哉,
14,14,7,14,インティライミ,牡7,57,スミヨン,2:24.6,1/2,**,8-7-6-7,36.9,123.9,16,466(-14),,,,[西] 佐々木晶,サンデーレーシング,
15,14,7,15,インターパテイション,セ7,57,コーエン,2:24.6,同着,**,13-13-14-13,36.6,89.5,14,504(0),,,,[外] バーバラ,Ｅ．マヴォラ,
16,16,1,1,アサクサキングス,牡5,57,岩田康誠,2:25.5,5,**,1-2-2-3,38.0,43.9,10,498(-2),,,,[西] 大久保龍,田原慶子,
17,17,6,11,マーシュサイド,牡6,57,カステリ,2:25.6,1/2,**,12-10-10-11,37.7,33.0,8,536(0),,,,[外] ドライス,Ｒ．エヴァンス,
18,18,7,13,ヤマニンキングリー,牡4,57,柴山雄一,2:26.6,6,**,5-5-4-3,39.1,71.2,13,486(+6),,,,[西] 河内洋,土井肇,
