,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
11,12,2,3,ストーミングスター,牡3,57,Ｍ．デム,1:33.5,ハナ,**,9-12,34.6,21.9,7,458(0),,,,[東] 藤原辰雄,グランド牧場,
12,13,8,16,サトノネプチューン,牡3,57,岩田康誠,1:33.5,ハナ,**,5-4,35.2,118.2,16,484(-6),,,,[東] 堀宣行,里見治,
13,14,8,18,モグモグパクパク,牡3,57,北村宏司,1:33.5,クビ,**,9-7,35.0,92.3,14,446(-8),,,,[東] 高橋祥泰,小田切有一,
14,15,1,1,アットウィル,牡3,57,三浦皇成,1:33.6,クビ,**,8-7,35.1,97.3,15,482(+4),,,,[西] 領家政蔵,宮川純造,
15,16,1,2,ザラストロ,牡3,57,武豊,1:33.8,1.1/2,**,14-15,34.6,71.5,13,482(0),,,,[東] 武藤善則,高橋一恵,
16,17,2,4,マイネルエテルネル,牡3,57,石橋脩,1:33.8,クビ,**,5-7,35.3,296.5,17,466(+6),,,,[西] 西園正都,サラブレッドクラブ・ラフィアン,
17,18,7,14,ローガンサファイア,牝3,55,浜中俊,1:33.9,クビ,**,5-6,35.5,30.4,9,432(0),,,,[西] 佐々木晶,キャロットファーム,
0,1,5,10,ミッキーアイル,牡3,57,浜中俊,1:33.2,,**,1-1,34.8,1.9,1,478(+8),,,,[西] 音無秀孝,野田みづき,9582.2
1,2,1,2,タガノブルグ,牡3,57,三浦皇成,1:33.2,クビ,**,13-7,33.9,114.5,17,428(-6),,,,[西] 鮫島一歩,八木良司,3809.2
2,3,1,1,キングズオブザサン,牡3,57,蛯名正義,1:33.2,ハナ,**,13-11,33.7,78.4,12,464(0),,,,[西] 荒川義之,社台レースホース,2354.6
3,4,2,4,ロサギガンティア,牡3,57,柴田善臣,1:33.3,クビ,**,17-18,33.2,8.1,2,526(-2),,,,[東] 藤沢和雄,社台レースホース,1400.0
4,5,4,7,ホウライアキコ,牝3,55,和田竜二,1:33.3,ハナ,**,2-2,34.7,22.9,8,440(-2),,,,[西] 南井克巳,小林茂行,920.0
5,6,3,5,ショウナンアチーヴ,牡3,57,戸崎圭太,1:33.3,クビ,**,6-4,34.3,8.7,3,474(+4),,,,[東] 国枝栄,国本哲秀,
6,7,2,3,ダンツキャンサー,牝3,55,藤田伸二,1:33.5,1,**,3-3,34.8,196.9,18,466(0),,,,[西] 谷潔,山元哲二,
7,8,5,9,アトム,牡3,57,川田将雅,1:33.6,3/4,**,10-7,34.3,17.4,7,460(+12),,,,[西] 池江泰寿,杉山忠国,
8,9,4,8,サトノルパン,牡3,57,武豊,1:33.6,クビ,**,6-7,34.3,8.9,4,454(+6),,,,[西] 村山明,里見治,
9,10,6,12,ショウナンワダチ,牡3,57,北村宏司,1:33.7,クビ,**,13-15,34.0,16.1,6,474(-2),,,,[東] 大竹正博,国本哲秀,
10,11,7,14,ウインフェニックス,牡3,57,石橋脩,1:33.8,1/2,**,10-11,34.3,52.2,9,452(+2),,,,[東] 奥平雅士,ウイン,
11,12,3,6,ベルルミエール,牝3,55,川島信二,1:34.0,1,**,4-4,35.0,55.9,11,444(-6),,,,[西] 高橋亮,佐々木政充,
12,13,8,16,エイシンブルズアイ,牡3,57,福永祐一,1:34.0,クビ,**,10-14,34.4,13.5,5,450(-2),,,,[西] 野中賢二,栄進堂,
13,14,7,15,アドマイヤビジン,牝3,55,四位洋文,1:34.1,1/2,**,13-17,34.2,84.1,13,468(-10),,,,[西] 梅田智之,近藤利一,
14,15,8,18,ピークトラム,牡3,57,横山典弘,1:34.2,1/2,**,6-7,34.9,105.0,16,460(-4),,,,[西] 橋口弘次,吉田照哉,
15,16,8,17,マイネルディアベル,牡3,57,ウィリア,1:34.3,1/2,**,6-11,34.8,89.8,15,442(0),,,,[東] 大和田成,サラブレッドクラブ・ラフィアン,
16,17,7,13,アルマエルナト,牡3,57,吉田豊,1:34.5,1.1/4,**,17-15,34.7,55.0,10,466(+2),,,,[東] 伊藤大士,コウトミックレーシング,
17,18,6,11,カラダレジェンド,牡3,57,江田照男,1:34.8,2,**,4-4,35.7,89.6,14,464(-6),,,,[東] 尾形和幸,子安裕樹,
0,1,4,7,クラリティスカイ,牡3,57,横山典弘,1:33.5,,**,5-5,33.9,6.4,3,478(-4),,,,[西] 友道康夫,杉山忠国,9582.2
1,2,5,9,アルビアーノ,牝3,55,柴山雄一,1:33.7,1,**,2-2,34.4,6.5,4,512(+6),,,,[東] 木村哲也,吉田和美,3809.2
2,3,6,12,ミュゼスルタン,牡3,57,柴田善臣,1:33.7,クビ,**,11-9,33.8,5.9,2,470(-6),,,,[東] 大江原哲,高橋仁,2354.6
3,4,1,1,アヴニールマルシェ,牡3,57,北村宏司,1:33.9,1.1/2,**,14-14,33.8,7.2,5,488(-4),,,,[東] 藤沢和雄,キャロットファーム,1400.0
4,5,1,2,グランシルク,牡3,57,戸崎圭太,1:33.9,クビ,**,9-9,34.1,4.3,1,480(+2),,,,[東] 戸田博文,シルクレーシング,920.0
5,6,7,14,ヤングマンパワー,牡3,57,松岡正海,1:33.9,アタマ,**,12-9,34.0,30.3,10,522(+4),,,,[東] 手塚貴久,星野壽市,
6,7,7,15,フミノムーン,牡3,57,幸英明,1:34.1,1,**,16-14,34.0,44.8,13,444(+2),,,,[西] 西浦勝一,谷二,
7,8,8,17,ニシノラッシュ,牡3,57,田辺裕信,1:34.1,クビ,**,7-5,34.5,27.3,9,476(0),,,,[東] 田村康仁,西山茂行,
8,9,5,10,アルマワイオリ,牡3,57,勝浦正樹,1:34.2,クビ,**,12-9,34.3,10.7,6,468(+2),,,,[西] 西浦勝一,コウトミックレーシング,
9,10,7,13,コスモナインボール,牡3,57,柴田大知,1:34.3,1/2,**,18-18,33.9,134.4,16,472(0),,,,[東] 和田雄二,ビッグレッドファーム,
10,11,8,16,ダノンメジャー,牡3,57,武豊,1:34.4,1/2,**,3-2,35.0,18.0,8,482(+4),,,,[西] 橋口弘次,ダノックス,
11,12,2,4,グァンチャーレ,牡3,57,蛯名正義,1:34.4,クビ,**,14-14,34.3,34.3,11,440(-2),,,,[西] 北出成人,松本俊廣,
12,13,6,11,ヤマカツエース,牡3,57,池添謙一,1:34.5,クビ,**,7-5,34.9,14.2,7,488(+6),,,,[西] 池添兼雄,山田和夫,
13,14,2,3,クールホタルビ,牝3,55,吉田豊,1:34.8,2,**,16-17,34.6,156.2,18,440(+6),,,,[西] 清水久詞,川上哲司,
14,15,4,8,ナイトフォックス,牡3,57,田中勝春,1:35.0,1.1/2,**,9-9,35.2,142.6,17,472(+6),,,,[東] 大竹正博,石瀬浩三,
15,16,3,6,レンイングランド,牡3,57,内田博幸,1:35.1,1/2,**,1-1,35.8,102.8,14,508(0),,,,[西] 矢作芳人,田畑勝彦,
16,17,8,18,マテンロウハピネス,牡3,57,浜中俊,1:35.4,2,**,3-2,36.0,35.6,12,444(+2),,,,[西] 昆貢,寺田千代乃,
17,18,3,5,タガノアザガル,牡3,57,松田大作,1:35.5,クビ,**,5-8,35.8,106.9,15,432(-8),,,,[西] 千田輝彦,八木良司,
0,1,2,4,メジャーエンブレム,牝3,55,ルメール,1:32.8,,**,1-1,35.1,2.3,1,496(-6),,,,[東] 田村康仁,サンデーレーシング,9886.4
1,2,3,5,ロードクエスト,牡3,57,池添謙一,1:32.9,3/4,**,16-16,33.8,6.4,2,446(-6),,,,[東] 小島茂之,ロードホースクラブ,3910.4
2,3,8,18,レインボーライン,牡3,57,福永祐一,1:32.9,クビ,**,9-9,34.4,40.7,12,430(-2),,,,[西] 浅見秀一,三田昌宏,2455.2
3,4,5,10,ダンツプリウス,牡3,57,丸山元気,1:33.1,1.1/4,**,6-6,34.9,21.2,7,494(-4),,,,[西] 山内研二,山元哲二,1400.0
4,5,4,7,トウショウドラフタ,牡3,57,田辺裕信,1:33.1,アタマ,**,14-13,34.2,10.0,5,460(-4),,,,[東] 萱野浩二,トウショウ産業,950.0
5,6,6,12,ハクサンルドルフ,牡3,57,内田博幸,1:33.1,アタマ,**,16-16,33.9,37.3,11,452(0),,,,[西] 西園正都,河崎五市,
6,6,8,17,ブランボヌール,牝3,55,三浦皇成,1:33.1,同着,**,3-3,35.1,133.0,15,418(-4),,,,[西] 中竹和也,前田葉子,
7,8,7,14,ブレイブスマッシュ,牡3,57,横山典弘,1:33.1,ハナ,**,13-13,34.3,29.6,9,478(+2),,,,[東] 小笠倫弘,島川隆哉,
8,9,7,15,ストーミーシー,牡3,57,江田照男,1:33.3,1.1/4,**,11-12,34.7,32.3,10,524(+4),,,,[東] 斎藤誠,ミルファーム,
9,10,5,9,シャドウアプローチ,牡3,57,ベリー,1:33.3,ハナ,**,9-9,34.8,53.8,13,488(-6),,,,[西] 須貝尚介,飯塚知一,
10,11,4,8,イモータル,牡3,57,戸崎圭太,1:33.4,クビ,**,6-6,35.3,7.6,3,516(-4),,,,[西] 須貝尚介,金子真人ホールディングス,
11,12,1,1,シュウジ,牡3,57,岩田康誠,1:33.4,アタマ,**,3-3,35.4,27.8,8,494(0),,,,[西] 須貝尚介,安原浩司,
12,13,1,2,エクラミレネール,牝3,55,大野拓弥,1:33.4,クビ,**,6-6,35.2,138.2,16,432(-4),,,,[東] 高橋裕,岡田牧雄,
13,14,8,16,カネノイロ,牡3,57,蛯名正義,1:33.5,クビ,**,14-13,34.6,234.1,17,448(-2),,,,[東] 佐藤吉勝,江川伸夫,
14,15,6,11,ペルソナリテ,牝3,55,柴田大知,1:33.6,3/4,**,18-18,34.0,259.2,18,404(+4),,,,[東] 相沢郁,サラブレッドクラブ・ラフィアン,
15,16,2,3,アーバンキッド,牡3,57,ボウマン,1:33.7,1/2,**,3-3,35.8,11.3,6,466(0),,,,[東] 斎藤誠,サンデーレーシング,
16,17,3,6,ティソーナ,牡3,57,Ｍ．デム,1:33.8,クビ,**,11-9,35.3,9.8,4,488(0),,,,[東] 藤沢和雄,キャロットファーム,
17,18,7,13,シゲルノコギリザメ,牡3,57,松岡正海,1:35.4,10,**,2-2,37.6,89.7,14,476(-4),,,,[西] 谷潔,森中蕃,
0,1,8,16,アエロリット,牝3,55,横山典弘,1:32.3,,**,2-2,34.3,5.8,2,478(-2),,,,[東] 菊沢隆徳,サンデーレーシング,9882.2
1,2,7,14,リエノテソーロ,牝3,55,吉田隼人,1:32.5,1.1/2,**,9-9,34.0,37.5,13,450(-4),,,,[東] 武井亮,了徳寺健二,3909.2
2,3,3,6,ボンセルヴィーソ,牡3,57,松山弘平,1:32.9,2.1/2,**,1-1,35.0,14.4,6,462(-2),,,,[西] 池添学,名古屋友豊,2454.6
3,4,7,15,レッドアンシェル,牡3,57,福永祐一,1:32.9,クビ,**,10-10,34.2,14.5,7,442(-14),,,,[西] 庄野靖志,東京ホースレーシング,1400.0
4,5,6,11,オールザゴー,牡3,57,内田博幸,1:33.0,3/4,**,10-10,34.4,57.1,16,480(+6),,,,[西] 矢作芳人,サンデーレーシング,950.0
5,6,4,8,タイムトリップ,牡3,57,戸崎圭太,1:33.0,ハナ,**,7-7,34.6,19.7,10,478(-2),,,,[東] 菊川正達,中村祐子,
6,7,6,12,ミスエルテ,牝3,55,川田将雅,1:33.1,1/2,**,13-13,34.3,12.2,5,446(-4),,,,[西] 池江泰寿,サンデーレーシング,
7,8,7,13,トラスト,牡3,57,柴田大知,1:33.3,1,**,2-2,35.3,77.4,17,472(0),,,,[西] 中村均,岡田繁幸,
8,9,1,1,モンドキャンノ,牡3,57,ルメール,1:33.3,クビ,**,4-4,35.1,6.3,3,472(-2),,,,[西] 安田隆行,ユアストーリー,
9,10,5,10,ディバインコード,牡3,57,柴田善臣,1:33.4,1/2,**,5-4,35.2,22.6,11,490(-2),,,,[東] 栗田博憲,ノルマンディーサラブレッドレーシング,
10,11,3,5,プラチナヴォイス,牡3,57,石川裕紀,1:33.4,クビ,**,7-7,35.0,15.2,8,508(+4),,,,[西] 鮫島一歩,本間茂,
11,12,4,7,ジョーストリクトリ,牡3,57,武豊,1:33.6,3/4,**,13-13,34.8,17.1,9,490(-2),,,,[西] 清水久詞,上田けい子,
12,13,2,3,アウトライアーズ,牡3,57,田辺裕信,1:33.6,ハナ,**,15-13,34.7,7.7,4,480(0),,,,[東] 小島茂之,丸山担,
13,14,1,2,キョウヘイ,牡3,57,高倉稜,1:33.7,1/2,**,16-16,34.5,38.2,14,424(-4),,,,[西] 宮本博,瀬谷隆雄,
14,15,5,9,タイセイスターリー,牡3,57,北村宏司,1:34.0,1.3/4,**,16-16,34.9,38.5,15,518(-2),,,,[西] 矢作芳人,田中成奉,
15,16,8,17,ナイトバナレット,牡3,57,藤岡佑介,1:34.0,アタマ,**,18-18,34.6,100.9,18,478(0),,,,[西] 矢作芳人,シルクレーシング,
16,17,2,4,カラクレナイ,牝3,55,Ｍ．デム,1:34.2,1.1/4,**,10-10,35.5,5.0,1,484(+4),,,,[西] 松下武士,吉田照哉,
17,18,8,18,ガンサリュート,牡3,57,池添謙一,1:34.3,3/4,**,5-4,36.1,29.2,12,508(+4),,,,[西] 安田隆行,キャロットファーム,
