,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
7,8,3,5,マイネルシーガル,牡3,57,後藤浩輝,1:35.3,2.1/2,**,8-8,36.3,10.8,6,502(0),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,
8,9,8,16,シャドウストライプ,牡3,57,安藤勝己,1:35.3,クビ,**,18-14,35.9,8.4,5,520(-4),,,,[東] 加藤征弘,飯塚知一,
9,10,7,13,ダイレクトキャッチ,牡3,57,北村宏司,1:35.3,ハナ,**,16-14,35.9,7.0,4,488(0),,,,[東] 上原博之,サンデーレーシング,
10,11,1,1,アサクサキングス,牡3,57,武幸四郎,1:35.4,1/2,**,4-6,36.5,6.8,3,494(+8),,,,[西] 大久保龍,田原慶子,
11,12,2,3,オースミダイドウ,牡3,57,岩田康誠,1:35.5,クビ,**,2-2,36.9,6.7,2,510(+2),,,,[西] 中尾正,オースミ,
12,13,5,9,ワールドハンター,牡3,57,蛯名正義,1:35.6,3/4,**,13-10,36.4,36.6,13,506(+12),,,,[西] 坂口正則,青木基秀,
13,14,4,8,ゴールドアグリ,牡3,57,安藤光彰,1:35.7,クビ,**,4-3,37.0,30.6,12,484(+8),,,,[東] 戸田博文,スター・ホースメンズクラブ,
14,15,1,2,マイネルレーニア,牡3,57,松岡正海,1:35.8,1/2,**,1-1,37.3,27.3,11,508(+4),,,,[西] 西園正都,サラブレッドクラブ・ラフィアン,
15,16,2,4,マイネルフォーグ,牡3,57,川田将雅,1:35.8,アタマ,**,10-10,36.6,50.7,14,438(+4),,,,[西] 宮徹,サラブレッドクラブ・ラフィアン,
16,17,3,6,イクスキューズ,牝3,55,横山典弘,1:35.8,ハナ,**,2-3,37.0,11.6,8,452(-6),,,,[東] 藤沢和雄,岡田繁幸,
17,18,4,7,キングスデライト,牡3,57,長谷川浩,1:35.9,1/2,**,12-10,36.7,74.9,16,516(+6),,,,[西] 河内洋,社台レースホース,
0,1,5,9,ディープスカイ,牡3,57,四位洋文,1:34.2,,**,16-11,33.9,4.3,1,508(0),,,,[西] 昆貢,深見敏男,9599.0
