,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/11/27,5東京8,小雨,11.0,ジャパンC(G1),,17.0,8.0,16,4.2,2,5,ムーア,57,芝2400,良,**,2:26.4,0.6,**,3-3-3-2,37.2-34.7,35.1,506(+4),,,キタサンブラック,3000.0
1,2016/10/30,4東京9,曇,11.0,天皇賞(秋)(G1),,15.0,7.0,12,13.0,7,2,Ｍ．デム,58,芝2000,良,**,1:59.5,0.2,**,8-10-10,36.9-34.2,33.5,502(+4),,,モーリス,6090.0
2,2016/06/05,3東京2,晴,11.0,安田記念(G1),,12.0,8.0,11,4.5,2,11,福永祐一,58,芝1600,良,**,1:34.0,1.0,**,3-3,35.0-33.9,34.6,498(0),,,ロゴタイプ,
3,2016/03/26,アラブ首,,,ドバイターフ(G1),,,,14,,4,1,ムーア,57,芝1800,良,,1:47.1,,,,,,計不,,,(),
4,2016/02/28,2中山2,晴,11.0,中山記念(G2),,11.0,2.0,2,4.2,2,3,福永祐一,55,芝1800,良,**,1:46.0,0.1,**,5-5-6-5,36.5-34.9,34.1,508(+8),,,ドゥラメンテ,1611.6
5,2015/10/25,4京都7,晴,11.0,菊花賞(G1),,18.0,6.0,11,4.3,2,2,福永祐一,57,芝3000,良,**,3:03.9,0.0,**,7-8-7-7,35.4-35.4,35.1,500(-4),,,キタサンブラック,5433.4
6,2015/09/27,4阪神7,晴,11.0,神戸新聞杯(G2),,15.0,3.0,5,1.9,1,2,福永祐一,56,芝2400,良,**,2:27.0,0.3,**,7-8-8-8,36.5-34.1,34.0,504(+6),,,リアファル,2130.4
7,2015/05/31,2東京12,晴,10.0,東京優駿(G1),,18.0,7.0,13,3.8,2,4,福永祐一,57,芝2400,良,**,2:23.8,0.6,**,13-12-11-10,35.4-34.6,34.3,498(-4),,,ドゥラメンテ,3000.0
8,2015/04/19,3中山8,曇,11.0,皐月賞(G1),,15.0,3.0,5,3.8,2,2,福永祐一,57,芝2000,良,**,1:58.4,0.2,**,4-5-5-3,35.2-34.7,34.5,502(-4),,,ドゥラメンテ,4760.0
9,2015/03/22,2中山8,晴,11.0,フジTVスプリングS(G2),,12.0,5.0,6,2.0,1,2,福永祐一,56,芝1800,良,**,1:49.1,0.0,**,7-8-8-7,36.7-34.5,33.6,506(+6),,,キタサンブラック,2124.0
10,2015/02/15,1東京6,晴,11.0,共同通信杯(G3),,12.0,1.0,1,6.1,3,1,福永祐一,56,芝1800,良,**,1:47.1,-0.1,**,6-4-4,35.2-34.5,34.0,500(+2),,,(ドゥラメンテ),3743.4
11,2014/12/27,5阪神7,晴,5.0,2歳新馬,,9.0,4.0,4,1.2,1,1,福永祐一,55,芝1800,良,**,1:50.8,-0.6,**,5-3,37.6-33.6,33.3,498(0),,,(リベレーター),700.0
