,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
17,2014/12/14,4中山4,晴,10,美浦S(1600万下),,14,1,1,2.0,1,1,戸崎圭太,56.0,芝1800,良,**,1:47.3,-0.2,**,1-1-1-1,35.0-36.6,36.6,484(+14),,,(シベリアンスパーブ),1820.1
18,2014/07/12,2福島3,晴,10,松島特別(1000万下),,8,4,4,1.6,1,1,柴田大知,57.0,芝2000,良,**,1:59.6,-0.2,**,6-6-2-1,36.3-34.6,34.6,470(+2),,,(ガチバトル),1490.3
19,2014/06/01,2東京12,晴,9,むらさき賞(1600万下),,16,8,15,2.5,1,2,柴田大知,55.0,芝1800,良,**,1:45.3,0.1,**,2-2-2,35.2-35.0,35.0,468(-4),,,レッドルーファス,730.6
20,2014/04/20,3中山8,曇,9,鹿野山特別(1000万下),,14,7,12,2.1,1,1,柴田大知,55.0,芝2000,良,**,2:00.3,-0.9,**,1-1-1-1,36.3-35.4,35.4,472(-8),,,(マグメル),1510.1
21,2014/03/09,2中山4,晴,8,4歳上500万下,,15,8,15,7.0,3,1,柴田大知,57.0,芝2000,良,**,2:01.1,-0.7,**,3-3-2-1,35.6-35.5,35.3,480(+2),,,(ブライトボーイ),750.0
22,2014/02/17,1東京4,晴,7,4歳上500万下,,14,7,11,16.3,9,2,柴田大知,56.0,芝1800,不,**,1:47.9,0.0,**,2-3-3,36.0-34.9,34.6,478(+4),,,レッドルーファス,300.0
23,2013/12/14,5中山5,晴,12,3歳上1000万下,,14,2,2,31.9,9,7,石橋脩,56.0,芝1600,良,**,1:35.6,0.3,**,7-10-9,35.1-36.4,34.5,474(+8),,,ミナレット,
24,2013/11/24,5東京8,晴,6,3歳上500万下,,17,6,11,47.6,12,7,柴田大知,55.0,芝2400,良,**,2:26.3,0.4,**,6-6-6-8,35.7-35.7,35.4,466(-2),,,ローレルラスター,
25,2013/10/20,4東京7,雨,8,3歳上500万下,,17,4,7,16.2,7,13,柴田大知,55.0,芝1600,不,**,1:39.2,1.6,**,3-5,36.4-36.0,37.2,468(+6),,,レッドセシリア,
26,2013/09/29,4中山9,晴,8,3歳上500万下,,16,5,9,4.0,2,7,柴田大知,55.0,芝1600,良,**,1:35.0,0.8,**,2-4-5,34.6-35.9,36.1,462(+6),,,エデンロック,
27,2013/05/19,2東京10,晴,6,3歳500万下,,16,3,6,5.8,3,5,ウィリア,56.0,芝1600,良,**,1:34.5,1.0,**,4-5,35.3-34.0,34.6,456(-4),,,ベステゲシェンク,70.0
28,2013/05/04,2東京5,晴,7,3歳500万下,,10,1,1,17.8,6,7,柴田大知,56.0,芝1600,良,**,1:35.0,0.4,**,5-5,36.1-35.0,33.9,460(+2),,,ケイアイチョウサン,
29,2013/04/14,3中山8,晴,4,3歳未勝利,,16,1,2,3.0,1,1,柴田大知,56.0,芝1600,良,**,1:36.5,-0.1,**,2-1-1,36.9-34.5,34.5,458(0),,,(ブライトチェリー),500.0
30,2013/03/23,3中山1,晴,5,3歳未勝利,,16,1,1,23.7,7,2,柴田大知,56.0,芝1600,良,**,1:35.5,0.2,**,2-4-4,35.7-35.3,35.3,458(0),,,ダイワブレイディ,200.0
31,2013/01/13,1中山4,晴,5,3歳未勝利,,16,2,4,19.1,7,13,大野拓弥,56.0,芝2200,良,**,2:16.7,1.4,**,5-8-12-7,35.7-37.1,37.8,458(-4),,,シャイニーリーヴァ,
32,2012/12/02,5中山2,晴,3,2歳未勝利,,17,3,6,8.6,2,7,大野拓弥,55.0,芝2000,良,**,2:05.5,0.9,**,12-12-13-11,36.1-35.7,35.4,462(+10),,,モンテエベレスト,
33,2012/11/10,5東京3,晴,4,2歳未勝利,,18,4,7,7.7,5,10,ムーア,55.0,芝2000,良,**,2:02.7,1.0,**,6-9-9,34.3-36.6,35.7,452(0),,,マイネルマエストロ,
34,2012/09/01,3新潟7,晴,1,2歳未勝利,,18,7,15,78.3,13,3,大野拓弥,54.0,芝1600,良,**,1:34.7,0.7,**,5-7,34.6-34.6,34.2,452(+2),,,モオプナツヨシ,130.0
35,2012/08/05,2新潟8,晴,5,2歳新馬,,10,7,7,56.2,8,8,柴田大知,54.0,芝1800,良,**,1:50.9,0.9,**,6-6,37.4-33.9,34.5,450(0),,,ローザズカレッジ,
