,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/10/09,4東京2,曇,11,毎日王冠(G2),,12,5,6,20.2,7,11,丹内祐次,56.0,芝1800,稍,**,1:47.9,1.3,**,1-1-1,35.8-34.5,35.8,480(-6),,,ルージュバック,
1,2016/09/04,2新潟12,晴,11,新潟記念(G3),,18,5,10,8.5,5,8,柴田大知,57.5,芝2000,良,**,1:57.9,0.4,**,3-5,35.0-35.1,34.1,486(0),,,アデイインザライフ,
2,2016/07/17,2函館4,小雨,11,函館記念(G3),,16,3,6,7.4,3,1,丹内祐次,56.0,芝2000,稍,**,1:59.0,-0.3,**,1-1-1-1,35.3-35.5,35.5,486(-8),,,(ケイティープライド),4156.0
3,2016/06/12,3東京4,曇,11,エプソムC(G3),,18,7,13,16.5,6,3,柴田大知,56.0,芝1800,良,**,1:46.6,0.4,**,1-1-1,36.3-33.9,34.3,494(+6),,,ルージュバック,1009.1
4,2016/05/08,1新潟4,晴,11,新潟大賞典(G3),,16,3,6,16.1,9,5,丹内祐次,56.0,芝2000,良,**,1:58.5,0.7,**,1-1,35.4-34.8,35.5,488(+10),,,パッションダンス,410.0
5,2016/04/10,1福島2,曇,11,福島民報杯(OP),,16,5,10,11.4,5,6,丹内祐次,58.0,芝2000,良,**,1:59.6,0.7,**,1-1-1-1,35.2-36.1,36.8,478(-2),,,シャイニープリンス,
6,2015/12/12,5阪神3,曇,11,チャレンジC(G3),,18,2,3,13.1,6,8,柴田大知,56.0,芝1800,良,**,1:47.1,1.0,**,3-2,35.9-35.1,36.0,480(-2),,,フルーキー,
7,2015/11/15,3福島6,晴,11,福島記念(G3),,16,1,2,6.1,3,5,柴田大知,56.0,芝2000,重,**,2:03.0,0.5,**,3-3-2-4,35.3-37.7,38.0,482(-4),,,ヤマカツエース,400.0
8,2015/09/27,4中山7,晴,11,産経賞オールカマー(G2),,15,3,5,11.1,5,11,柴田大知,56.0,芝2200,良,**,2:13.4,1.5,**,1-1-1-1,35.8-34.9,36.4,486(0),,,ショウナンパンドラ,
9,2015/09/06,2新潟12,雨,11,新潟記念(G3),,18,3,6,16.2,9,2,柴田大知,56.0,芝2000,稍,**,1:58.2,0.0,**,2-2,35.5-35.1,34.6,486(+8),,,パッションダンス,1618.4
10,2015/07/19,2函館4,曇,11,函館記念(G3),,16,8,16,5.8,2,8,丹内祐次,56.0,芝2000,良,**,2:00.6,1.5,**,1-1-1-1,34.9-36.8,38.3,478(+2),,,ダービーフィズ,
11,2015/07/05,1函館6,晴,11,巴賞(OP),,8,1,1,3.2,2,1,丹内祐次,56.0,芝1800,良,**,1:46.5,-0.4,**,1-1-1-1,36.0-35.5,35.5,476(-2),,,(レッドレイヴン),2320.3
12,2015/05/23,2東京9,晴,11,モンゴル大統領賞(OP),,17,6,11,9.0,5,4,柴田大知,55.0,芝1800,良,**,1:45.0,0.3,**,6-6-5,35.3-35.1,34.6,478(+2),,,サトノアラジン,350.0
13,2015/04/12,1福島2,晴,11,福島民報杯(OP),,15,2,3,2.9,1,9,柴田大知,56.0,芝2000,良,**,2:00.0,0.9,**,2-2-2-2,35.4-36.1,36.9,476(+6),,,マイネルフロスト,
14,2015/03/14,2中京1,晴,11,中日新聞杯(G3),,18,2,4,13.3,6,3,柴田大知,55.0,芝2000,良,**,2:01.5,0.3,**,1-1-1-1,36.8-36.0,36.3,470(-4),,,ディサイファ,1009.0
15,2015/02/22,1小倉6,小雨,11,小倉大賞典(G3),,16,7,13,14.8,7,5,柴田大知,55.0,芝1800,重,**,1:49.0,0.7,**,7-6-2-2,35.9-36.9,37.5,474(-10),,,カレンブラックヒル,400.0
16,2015/01/04,1中山1,晴,11,日刊スポ賞中山金杯(G3),,17,1,1,5.2,2,15,柴田大知,55.0,芝2000,良,**,1:59.5,1.7,**,1-1-1-1,35.6-34.8,36.5,484(0),,,ラブリーデイ,
