,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/28,1東京1,晴,11,白富士S(OP),,14,8,14,8.7,5,2,横山典弘,56,芝2000,良,**,2:00.6,0.0,**,8-9-7,38.0-33.6,33.2,480(+10),,,スズカデヴィアス,968.4
1,2016/12/11,5中山4,晴,10,美浦S(1600万下),,16,4,8,5.2,2,1,横山典弘,55,芝1800,良,**,1:47.4,0.0,**,7-6-6-3,36.2-36.1,35.7,470(+8),,,(カレンリスベット),1855.0
2,2016/11/05,5東京1,晴,10,ノベンバーS(1600万下),,14,1,1,27.8,6,4,横山典弘,55,芝2000,良,**,2:00.0,0.1,**,5-5-6,36.7-35.4,33.9,462(-2),,,トルークマクト,270.0
3,2016/07/09,2福島3,曇,11,阿武隈S(1600万下),,12,7,9,3.7,2,9,戸崎圭太,55,芝1800,稍,**,1:49.0,0.9,**,4-3-2-3,35.8-35.9,36.5,464(+2),,,ウインインスパイア,
4,2016/04/17,3中山8,曇,9,鹿野山特別(1000万下),,13,7,10,4.4,2,1,戸崎圭太,57,芝2000,良,**,2:00.1,-0.1,**,2-2-2-2,36.2-34.9,34.9,462(-4),,,(トミケンスラーヴァ),1528.7
5,2016/01/16,1中山5,晴,12,4歳上500万下,,16,8,15,1.9,1,1,戸崎圭太,57,芝2000,良,**,2:01.7,-0.2,**,4-5-4-4,37.0-34.9,34.6,466(+4),,,(シングンジョーカー),750.0
6,2015/12/26,5中山7,晴,7,3歳上500万下,,18,1,2,3.3,1,3,戸崎圭太,57,芝2000,良,**,2:00.3,0.3,**,10-10-9-8,35.4-35.5,35.0,462(0),,,ツクバアズマオー,190.0
7,2015/10/25,3新潟4,晴,10,浦佐特別(500万下),,10,2,2,12.9,4,2,勝浦正樹,57,芝1800,良,**,1:47.0,0.2,**,5-5,35.4-35.1,34.9,462(-4),,,リーサルウェポン,369.2
8,2015/09/05,2札幌5,晴,8,3歳上500万下,,16,8,16,28.0,8,4,勝浦正樹,57,芝2000,稍,**,2:03.7,0.2,**,5-5-4-4,37.3-36.5,36.4,466(-6),,,ペンタトニック,110.0
9,2015/08/08,1札幌3,晴,9,3歳上500万下,,13,5,6,10.6,5,5,勝浦正樹,57,ダ1700,良,**,1:45.2,0.6,**,9-9-9-9,29.7-37.4,36.9,472(-8),,,メイショウナゴミ,75.0
10,2015/06/28,1函館4,雨,8,3歳上500万下,,13,4,5,121.1,13,4,勝浦正樹,57,ダ1700,不,**,1:44.4,0.2,**,6-6-7-6,29.7-37.0,36.4,480(+18),,,トーセンアーネスト,110.0
11,2015/01/04,1中山1,晴,7,4歳上500万下,,15,8,14,36.4,12,11,田辺裕信,56,ダ1800,良,**,1:57.3,2.4,**,3-3-3-3,38.0-38.3,40.5,462(-8),,,マドリードカフェ,
12,2014/06/18,門別,曇,5,サラブレッドロード新,,8,2,2,1.2,1,1,五十嵐冬,56,ダ1700,稍,,1:52.4,0.0,,6-4-4-3,,39.6,470(0),,,(スクートオフ),20.0
13,2014/05/28,門別,晴,3,日高山脈ペテガリ岳賞,,12,8,12,2.0,1,1,五十嵐冬,56,ダ1700,良,,1:53.7,-0.3,,10-11-8-6,,40.0,470(+2),,,(ミヤジレイナ),20.0
14,2014/03/16,2中山6,晴,3,3歳未勝利,,16,4,7,19.9,9,14,宮崎北斗,56,ダ1800,稍,**,1:59.1,2.5,**,1-1-2-3,37.6-38.6,41.1,468(0),,,タマモマズルカ,
15,2014/02/01,1東京1,晴,5,3歳新馬,,16,8,15,23.1,7,8,宮崎北斗,56,芝1800,良,**,1:51.4,0.9,**,11-10-12,37.1-34.4,34.2,468(0),,,カレンリスベット,
