,0,1,2,3,4
0,馬番,チェック 予想印,馬名 年齢 騎手 斤量,オッズ人気,馬体重(増減)
1,1,,ネオリアリズム 牡6 Ｍデム 57.0,5.8 3人気,
2,2,,マイネルミラノ 牡7 柴田大 56.0,44.5 9人気,
3,3,,ヴィブロス 牝4 内田博 54.0,8.4 4人気,
4,4,,リアルスティール 牡5 戸崎圭 58.0,3.6 2人気,
5,5,,サクラアンプルール 牡6 横山典 56.0,33.7 8人気,
6,6,,ヒラボクディープ 牡7 北村宏 56.0,155.6 11人気,
7,7,,アンビシャス 牡5 ルメー 57.0,2.9 1人気,
8,8,,ツクバアズマオー 牡6 吉田豊 56.0,8.6 5人気,
9,9,,ロゴタイプ 牡7 田辺 58.0,13.4 7人気,
10,10,,ヌーヴォレコルト 牝6 岩田 54.0,11.6 6人気,
11,11,,クリールカイザー 牡8 石川 56.0,120.5 10人気,
