,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/12/11,シャティ,晴,,香港マイル(G1),,14,,7,4.8,3.0,9,ムーア,57,芝1600,良,,1:34.0,,,,,,計不,,,,
1,2016/11/20,5京都6,曇,11.0,マイルチャンピオンS(G1),,18,7.0,15,14.0,7.0,3,ムーア,57,芝1600,良,**,1:33.2,0.1,**,2-2,34.4-35.6,35.6,502(+6),,,ミッキーアイル,2654.0
2,2016/08/21,2札幌2,雨,11.0,札幌記念(G2),,16,7.0,13,17.2,5.0,1,ルメール,57,芝2000,稍,**,2:01.7,-0.3,**,1-1-1-1,35.6-36.9,36.9,496(-18),,,(モーリス),7112.0
3,2016/07/17,2函館4,小雨,11.0,函館記念(G3),,16,6.0,12,10.3,4.0,6,ティータ,55,芝2000,稍,**,1:59.9,0.9,**,10-10-10-10,35.3-35.5,35.7,514(-2),,,マイネルミラノ,
4,2016/02/21,1小倉4,晴,11.0,小倉大賞典(G3),,16,6.0,11,8.5,5.0,3,岩田康誠,55,芝1800,良,**,1:46.8,0.1,**,13-13-7-5,35.5-35.3,35.0,516(+20),,,アルバートドック,1008.4
5,2016/01/05,1中山1,晴,11.0,日刊スポ賞中山金杯(G3),,13,3.0,4,6.7,4.0,7,戸崎圭太,55,芝2000,良,**,2:01.7,0.5,**,4-4-4-5,37.2-34.3,33.5,496(-4),,,ヤマカツエース,
6,2015/11/29,5東京9,晴,10.0,ウェルカムS(1600万下),,13,8.0,13,6.2,4.0,1,ムーア,57,芝1800,良,**,1:46.4,-0.2,**,13-13-12,34.9-35.8,33.3,500(-6),,,(イサベル),1848.7
7,2015/10/25,4東京7,晴,10.0,甲斐路S(1600万下),,11,2.0,2,2.4,1.0,6,Ｃ．デム,57,芝1800,良,**,1:47.7,0.4,**,9-8-8,37.2-33.7,33.5,506(-4),,,シュンドルボン,
8,2015/09/05,2札幌5,晴,12.0,日高特別(1000万下),,16,5.0,9,1.6,1.0,1,ルメール,57,芝2000,稍,**,2:02.2,-0.2,**,6-7-7-7,35.0-38.3,36.5,510(-4),,,(マイネグレヴィル),1537.8
9,2015/08/02,1札幌2,晴,7.0,3歳上500万下,,11,5.0,5,2.8,2.0,1,ルメール,57,芝1800,良,**,1:46.5,-0.5,**,6-6-6-5,35.3-35.1,33.5,514(+4),,,(ヒルノマテーラ),750.0
10,2015/03/14,2中山5,曇,9.0,館山特別(1000万下),,8,4.0,4,1.9,1.0,4,戸崎圭太,57,芝2000,良,**,2:01.5,0.6,**,2-2-2-2,35.8-35.6,36.1,510(-4),,,ロードエフォール,230.0
11,2015/02/21,1東京7,晴,9.0,調布特別(1000万下),,14,8.0,13,5.3,2.0,4,戸崎圭太,56,芝2000,良,**,2:00.8,0.0,**,4-4-4,36.7-35.0,34.6,514(+18),,,フェスティヴイェル,230.0
12,2014/05/17,2東京7,晴,9.0,夏木立賞(500万下),,12,6.0,8,4.0,2.0,1,戸崎圭太,56,芝2000,良,**,2:00.4,-0.3,**,4-4-3,36.7-34.1,33.8,496(-8),,,(ホルボッシュ),1006.6
13,2014/04/27,2東京2,晴,5.0,3歳未勝利,,18,4.0,8,2.0,1.0,1,戸崎圭太,56,芝2000,良,**,2:03.0,-0.1,**,3-2-2,37.8-34.4,34.3,504(-4),,,(レッドレギオン),500.0
14,2014/04/06,3中山4,晴,5.0,3歳未勝利,,18,7.0,14,8.6,3.0,2,津村明秀,56,芝2000,稍,**,2:03.1,0.0,**,4-4-3-2,36.5-37.1,37.0,508(-6),,,レッドグルック,200.0
15,2014/02/24,1東京6,晴,5.0,3歳新馬,,16,1.0,1,3.3,2.0,13,戸崎圭太,56,芝1800,良,**,1:55.5,2.1,**,7-8-9,39.1-33.7,35.1,514(0),,,レッドソレイユ,
16,2014/02/10,1東京3,晴,6.0,3歳新馬,,15,2.0,4,,,取,ベリー,56,芝1600,稍,**,,,**,,36.6-34.8,,計不,,,シングンジョーカー,
