,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/22,1中山7,晴,11,アメリカジョッキーC(G2),,17,8,17,33.7,10,12,吉田豊,56.0,芝2200,良,**,2:14.6,2.7,**,1-1-1-1,35.8-36.3,39.0,492(+4),,,タンタアレグリア,
1,2016/11/06,5東京2,晴,11,アルゼンチン共和国杯(G2),,15,4,6,15.7,6,7,田辺裕信,57.0,芝2500,良,**,2:34.0,0.6,**,1-1-1-1,31.5-34.2,34.8,488(+4),,,シュヴァルグラン,
2,2016/09/25,4中山6,曇,11,産経賞オールカマー(G2),,12,2,2,14.3,4,4,田辺裕信,56.0,芝2200,良,**,2:12.2,0.3,**,2-2-2-1,35.4-35.4,35.2,484(-2),,,ゴールドアクター,1000.0
3,2016/07/10,2福島4,晴,11,七夕賞(G3),,16,1,2,22.1,9,5,田辺裕信,57.0,芝2000,良,**,1:59.1,0.7,**,3-3-2-2,34.3-37.2,37.4,486(+4),,,アルバートドック,410.0
4,2016/05/29,2東京12,晴,12,目黒記念(G2),,18,6,11,48.7,12,15,田辺裕信,57.5,芝2500,良,**,2:31.8,1.2,**,5-5-5-4,29.7-34.9,35.8,482(-2),,,クリプトグラム,
5,2016/04/23,2東京1,曇,10,メトロポリタンS(OP),,6,3,3,8.6,4,5,石川裕紀,57.5,芝2400,良,**,2:26.9,0.7,**,1-1-1-1,36.7-35.0,35.7,484(-2),,,モンドインテロ,240.0
6,2015/05/03,3京都4,晴,11,天皇賞(春)(G1),,17,5,9,55.2,12,16,田辺裕信,58.0,芝3200,良,**,3:17.8,3.1,**,1-1-1-2,36.1-35.3,38.4,486(-8),,,ゴールドシップ,
7,2015/03/28,3中山1,晴,11,日経賞(G2),,12,5,5,5.2,3,10,吉田豊,57.0,芝2500,良,**,2:31.2,1.0,**,2-2-2-2,29.8-35.1,35.7,494(+2),,,アドマイヤデウス,
8,2015/01/25,1中山9,晴,11,アメリカジョッキーC(G2),,17,6,12,13.8,4,1,田辺裕信,56.0,芝2200,良,**,2:13.6,-0.2,**,1-1-2-1,37.7-34.6,34.4,492(+2),,,(ミトラ),6119.0
9,2014/12/06,4中山1,晴,11,ステイヤーズS(G2),,15,2,2,3.4,1,3,吉田豊,56.0,芝3600,良,**,3:48.2,0.4,**,5-5-7-5,39.1-35.7,35.6,490(+4),,,デスペラード,1516.0
10,2014/11/09,5東京2,曇,11,アルゼンチン共和国杯(G2),,18,5,9,7.7,4,2,吉田豊,56.0,芝2500,良,**,2:30.9,0.4,**,2-2-2-1,30.4-34.7,35.1,486(0),,,フェイムゲーム,2237.2
11,2014/09/28,3新潟6,晴,11,産経賞オールカマー(G2),,18,3,5,44.2,12,3,吉田豊,56.0,芝2200,良,**,2:12.3,0.1,**,12-12-10-9,35.4-35.0,34.4,486(+6),,,マイネルラクリマ,1618.2
