,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/12/11,シャティ,晴,,香港ヴァーズ(G1),,14,,13,11.9,5,4,岩田康誠,55.5,芝2400,良,,2:27.4,,,,,,計不,,,,
1,2016/11/24,アメリカ,,,レッドカーペットH(G3),,10,,1,,3,1,岩田康誠,55.5,芝2200,良,,2:15.56,,,,,,計不,,,(),
2,2016/11/05,サンタア,晴,5.0,BCフィリーアンドメア(G1),,13,13.0,13,,3,11,武豊,56.0,芝2000,良,,,,,,,,計不,,,,
3,2016/08/21,2札幌2,雨,11.0,札幌記念(G2),,16,1.0,1,5.7,2,4,吉田隼人,55.0,芝2000,稍,**,2:02.3,0.6,**,4-4-3-3,35.6-36.9,37.1,448(-14),,,ネオリアリズム,1100.0
4,2016/04/24,香港,曇,,QE2世C(G1),,13,,12,,6,6,武豊,55.5,芝2000,稍,,2:02.5,,,,,,462,,,,
5,2016/04/03,2阪神4,曇,11.0,産経大阪杯(G2),,11,3.0,3,5.1,3,6,岩田康誠,54.0,芝2000,良,**,2:00.0,0.7,**,4-3-3-3,36.8-33.6,33.9,456(+9),,,アンビシャス,
6,2015/12/13,香港,晴,,香港C(G1),,13,,14,,3,2,ムーア,55.5,芝2000,良,,2:00.7,,,,,,計不,,,,
7,2015/11/15,5京都4,晴,11.0,エリザベス女王杯(G1),,18,8.0,18,3.0,1,2,岩田康誠,56.0,芝2200,稍,**,2:14.9,0.0,**,13-13-14-12,36.1-36.3,34.3,448(-2),,,マリアライト,3709.2
8,2015/09/27,4中山7,晴,11.0,産経賞オールカマー(G2),,15,3.0,4,2.8,1,2,岩田康誠,55.0,芝2200,良,**,2:12.1,0.2,**,6-5-7-5,35.8-34.9,34.5,450(+4),,,ショウナンパンドラ,2632.4
9,2015/06/28,3阪神8,晴,11.0,宝塚記念(G1),,16,6.0,11,9.1,3,5,岩田康誠,56.0,芝2200,良,**,2:14.7,0.3,**,6-6-6-6,36.0-35.0,34.9,446(-6),,,ラブリーデイ,1500.0
10,2015/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,7.0,15,2.2,1,6,岩田康誠,55.0,芝1600,良,**,1:32.5,0.6,**,6-6,34.3-35.0,33.5,452(+4),,,ストレイトガール,
11,2015/03/01,2中山2,雨,11.0,中山記念(G2),,11,4.0,4,4.7,3,1,岩田康誠,54.0,芝1800,稍,**,1:50.3,0.0,**,3-3-3-4,37.5-36.1,35.6,448(+4),,,(ロゴタイプ),6079.8
12,2014/11/16,5京都4,晴,11.0,エリザベス女王杯(G1),,18,3.0,5,3.3,1,2,岩田康誠,54.0,芝2200,良,**,2:12.3,0.0,**,4-3-4-3,35.4-34.1,33.6,444(-4),,,ラキシス,3710.4
13,2014/10/19,4京都5,晴,11.0,秋華賞(G1),,17,2.0,4,1.5,1,2,岩田康誠,55.0,芝2000,良,**,1:57.0,0.0,**,11-11-11-10,34.5-35.3,34.0,448(+10),,,ショウナンパンドラ,3708.0
14,2014/09/21,4阪神4,晴,11.0,関西TVローズS(G2),,17,3.0,6,2.5,2,1,岩田康誠,54.0,芝1800,良,**,1:46.0,-0.2,**,4-4,35.1-34.2,33.6,438(-6),,,(タガノエトワール),5120.4
15,2014/05/25,2東京10,晴,11.0,優駿牝馬(G1),,18,5.0,9,9.8,2,1,岩田康誠,55.0,芝2400,良,**,2:25.8,0.0,**,7-9-9-8,35.2-35.1,34.2,444(+6),,,(ハープスター),12504.2
16,2014/04/13,2阪神6,曇,11.0,桜花賞(G1),,18,5.0,10,30.9,5,3,岩田康誠,55.0,芝1600,良,**,1:33.4,0.1,**,12-12,33.8-36.3,33.8,438(0),,,ハープスター,2610.9
17,2014/03/08,1阪神3,晴,11.0,チューリップ賞(G3),,13,8.0,13,18.1,4,2,岩田康誠,54.0,芝1600,良,**,1:34.7,0.4,**,6-6,35.3-34.9,34.7,438(-2),,,ハープスター,1413.2
18,2013/12/08,4中京4,晴,10.0,こうやまき賞(500万下),,10,7.0,7,4.3,2,1,吉田隼人,54.0,芝1600,良,**,1:36.5,-0.1,**,2-2-2,36.4-34.9,34.6,440(-2),,,(アドマイヤビジン),973.1
19,2013/11/09,5東京3,曇,2.0,2歳未勝利,,11,8.0,11,2.0,1,1,福永祐一,54.0,芝1600,良,**,1:37.0,-0.4,**,6-6,37.3-34.1,33.7,442(+2),,,(ミュゼミランダ),500.0
20,2013/10/19,4東京6,晴,4.0,2歳新馬,,18,5.0,10,2.5,1,4,戸崎圭太,54.0,芝1600,良,**,1:36.8,0.3,**,6-7,35.9-34.6,34.3,440(0),,,スイートガーデン,110.0
