,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/28,1東京1,晴,11,白富士S(OP),,14,2,2,51.5,10,6,北村宏司,57,芝2000,良,**,2:01.2,0.6,**,8-7-9,38.0-33.6,33.7,512(+4),,,スズカデヴィアス,
1,2015/11/08,5東京2,雨,11,アルゼンチン共和国杯(G2),,18,5,10,15.5,6,18,池添謙一,57,芝2500,重,**,2:38.1,4.1,**,13-14-14-11,30.8-34.2,37.6,508(-2),,,ゴールドアクター,
2,2015/09/06,2札幌6,晴,11,丹頂S(OP),,14,3,3,10.8,5,1,池添謙一,56,芝2600,良,**,2:41.8,-0.6,**,9-7-6-1,37.0-36.1,35.7,510(-6),,,(アドマイヤフライト),2331.5
3,2015/08/08,1札幌3,晴,11,札幌日経OP(OP),,11,8,10,6.0,4,6,三浦皇成,56,芝2600,良,**,2:39.5,0.8,**,10-10-10-9,37.0-35.0,34.5,516(+14),,,ペルーサ,
4,2015/07/12,2福島4,晴,11,七夕賞(G3),,16,7,13,21.4,10,6,横山典弘,56,芝2000,良,**,1:58.6,0.4,**,16-15-10-9,34.8-34.5,34.3,502(-4),,,グランデッツァ,
5,2015/06/14,3東京4,曇,11,エプソムC(G3),,13,4,4,32.1,6,5,柴山雄一,56,芝1800,良,**,1:45.9,0.5,**,5-3-3,35.6-34.6,34.9,506(+6),,,エイシンヒカリ,400.0
6,2015/05/23,2東京9,晴,11,モンゴル大統領賞(OP),,17,4,7,48.8,11,3,柴山雄一,56,芝1800,良,**,1:45.0,0.3,**,14-14-15,35.3-35.1,33.7,500(+6),,,サトノアラジン,586.1
7,2015/04/12,1福島2,晴,11,福島民報杯(OP),,15,3,5,34.0,10,8,丸田恭介,56,芝2000,良,**,2:00.0,0.9,**,7-8-8-8,35.4-36.1,36.2,494(-12),,,マイネルフロスト,
8,2015/03/01,2中山2,雨,11,中山記念(G2),,11,1,1,101.0,8,9,大野拓弥,56,芝1800,稍,**,1:51.9,1.6,**,10-10-9-8,37.5-36.1,36.7,506(+8),,,ヌーヴォレコルト,
9,2015/02/15,2京都6,曇,11,京都記念(G2),,11,5,5,123.4,8,9,国分優作,56,芝2200,良,**,2:12.2,0.7,**,5-5-7-7,36.8-34.0,34.2,498(-4),,,ラブリーデイ,
10,2014/12/21,4中山6,晴,11,ディセンバーS(OP),,13,4,5,34.7,9,4,大野拓弥,56,芝1800,稍,**,1:48.7,0.5,**,10-10-8-10,35.7-35.3,34.8,502(+6),,,レッドレイヴン,330.0
11,2014/02/01,1東京1,晴,11,白富士S(OP),,14,3,3,15.8,7,8,蛯名正義,56,芝2000,良,**,2:00.6,0.8,**,11-12-12,36.3-35.1,33.3,496(+14),,,エアソミュール,
12,2013/10/20,4京都7,曇,11,菊花賞(G1),,18,6,11,82.8,17,17,蛯名正義,57,芝3000,不,**,3:10.2,5.0,**,7-7-5-10,37.2-36.1,40.4,482(+2),,,エピファネイア,
13,2013/09/17,4中山5,晴,11,セントライト記念(G2),,15,4,6,3.3,1,13,蛯名正義,56,芝2200,良,**,2:14.3,0.8,**,5-5-3-2,37.1-35.9,36.3,480(0),,,ユールシンギング,
14,2013/05/26,2東京12,晴,10,東京優駿(G1),,18,4,7,20.7,5,13,蛯名正義,57,芝2400,良,**,2:25.0,0.7,**,13-11-12-10,35.0-35.2,34.5,480(-6),,,キズナ,
15,2013/04/27,2東京3,晴,11,テレビ東京杯青葉賞(G2),,18,3,5,24.6,7,1,蛯名正義,56,芝2400,良,**,2:26.2,0.0,**,4-4-4-4,36.6-34.7,34.0,486(+4),,,(アポロソニック),5333.0
16,2013/02/23,2中山1,晴,9,水仙賞(500万下),,10,5,5,2.6,1,1,蛯名正義,56,芝2200,良,**,2:17.1,0.0,**,3-3-4-4,37.3-35.4,35.1,482(-2),,,(シャイニーリーヴァ),973.8
17,2013/02/02,1東京3,晴,9,ゆりかもめ賞(500万下),,12,8,11,5.6,3,4,内田博幸,56,芝2400,良,**,2:29.7,0.2,**,6-6-7-8,37.1-34.5,34.2,484(+12),,,アルヴェロン,140.0
18,2012/12/01,5中山1,曇,9,葉牡丹賞(500万下),,13,3,3,6.5,2,6,蛯名正義,55,芝2000,良,**,2:04.1,0.5,**,7-7-9-9,36.9-35.7,35.4,472(0),,,トーセンヤマト,
19,2012/10/27,4東京8,晴,5,2歳新馬,,12,5,5,3.5,2,1,蛯名正義,55,芝1600,良,**,1:39.1,-0.2,**,3-4,39.0-33.7,33.5,472(0),,,(ポップジェムズ),700.0
