,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),,13,3,3,2.8,1,1,吉田豊,56.5,芝2000,良,**,2:00.6,-0.1,**,11-11-8-7,36.1-36.7,35.6,480(0),,,(クラリティスカイ),4146.9
1,2016/12/18,5中山6,晴,11,ディセンバーS(OP),,14,4,6,3.3,1,1,吉田豊,56.0,芝2000,良,**,2:00.9,-0.1,**,10-10-8-9,36.9-36.0,35.1,480(+8),,,(ルミナスウォリアー),2435.0
2,2016/09/25,4中山6,曇,11,産経賞オールカマー(G2),,12,5,5,19.4,6,3,吉田豊,56.0,芝2200,良,**,2:12.1,0.2,**,9-9-8-7,35.4-35.4,34.3,472(-2),,,ゴールドアクター,1712.0
3,2016/08/06,1札幌3,晴,11,札幌日経OP(OP),,14,2,2,6.8,3,4,勝浦正樹,56.0,芝2600,良,**,2:40.1,0.3,**,3-3-4-3,37.0-35.8,35.9,474(0),,,モンドインテロ,360.0
4,2016/07/17,2函館4,小雨,11,函館記念(G3),,16,5,10,18.7,9,3,吉田豊,55.0,芝2000,稍,**,1:59.5,0.5,**,10-11-10-8,35.3-35.5,35.3,474(0),,,マイネルミラノ,1008.0
5,2016/07/03,1函館6,曇,11,巴賞(OP),,11,7,9,6.7,4,3,吉田豊,56.0,芝1800,稍,**,1:48.0,0.3,**,9-9-7-6,35.1-35.9,35.6,474(-6),,,レッドレイヴン,603.3
6,2016/04/09,3中山5,曇,10,湾岸S(1600万下),,13,6,8,2.9,1,1,吉田豊,57.0,芝2200,良,**,2:13.0,-0.1,**,6-6-6-5,35.7-34.9,34.5,480(0),,,(マイネオーラム),1848.0
7,2016/03/12,2中山5,曇,10,サンシャインS(1600万下),,12,5,5,3.0,1,3,吉田豊,55.0,芝2500,良,**,2:34.3,0.1,**,5-5-7-5,30.9-36.1,35.6,480(0),,,インナーアージ,463.7
8,2016/02/21,1東京8,晴,10,アメジストS(1600万下),,13,5,7,3.3,2,5,吉田豊,55.0,芝2000,重,**,2:04.0,1.1,**,12-10-10,35.7-37.6,37.7,480(0),,,アングライフェン,182.0
9,2016/01/24,1中山8,晴,10,東雲賞(1000万下),,14,8,13,3.9,1,1,吉田豊,57.0,芝2000,良,**,2:00.3,-0.6,**,4-4-4-3,36.4-35.1,34.6,480(-2),,,(フォワードカフェ),1532.2
10,2015/12/26,5中山7,晴,7,3歳上500万下,,18,3,5,7.4,3,1,吉田豊,57.0,芝2000,良,**,2:00.0,-0.2,**,8-7-7-6,35.4-35.5,35.0,482(+20),,,(ミュゼダルタニアン),750.0
11,2015/07/18,2函館3,曇,10,臥牛山特別(500万下),,15,3,5,2.5,1,4,武豊,57.0,芝2000,良,**,2:00.8,0.3,**,8-8-8-8,35.2-36.9,35.6,462(-2),,,レッドルモンド,160.0
12,2015/07/04,1函館5,晴,10,恵山特別(500万下),,15,2,2,2.5,1,3,勝浦正樹,57.0,芝1800,良,**,1:49.2,0.3,**,12-12-7-5,35.9-35.9,35.4,464(-2),,,ハツガツオ,265.7
13,2015/02/21,1東京7,晴,9,調布特別(1000万下),,14,7,11,7.6,4,12,蛯名正義,56.0,芝2000,良,**,2:01.8,1.0,**,7-7-7,36.7-35.0,35.4,466(+2),,,フェスティヴイェル,
14,2015/01/24,1中山8,晴,12,4歳上1000万下,,12,1,1,4.3,2,2,吉田豊,56.0,芝2000,良,**,2:01.1,0.2,**,5-5-6-6,36.4-35.9,35.0,464(+2),,,テスタメント,420.0
15,2015/01/05,1中山2,晴,12,4歳上1000万下,,12,8,12,17.7,6,2,勝浦正樹,56.0,芝2000,良,**,2:01.8,0.0,**,3-3-2-2,36.9-34.6,33.8,462(0),,,トレクァルティスタ,420.0
16,2014/12/13,4中山3,晴,12,3歳上1000万下,,14,8,13,18.1,8,8,三浦皇成,56.0,芝1800,良,**,1:49.3,0.6,**,11-12-11-12,36.6-34.7,34.8,462(+6),,,ダイワリベラル,
17,2014/08/30,2札幌3,晴,11,HTB賞(1000万下),,11,7,8,5.3,3,5,勝浦正樹,53.0,芝1800,良,**,1:49.1,0.3,**,10-10-11-9,36.9-35.4,34.7,456(+2),,,ショウナンバーキン,147.0
18,2014/08/09,1札幌5,晴,9,3歳上500万下,,14,3,3,2.0,1,1,勝浦正樹,54.0,芝1800,良,**,1:49.4,-0.1,**,11-12-11-3,36.1-36.7,35.9,454(-2),,,(カッパドキア),730.0
19,2014/07/20,2函館6,晴,9,北斗特別(500万下),,14,7,11,6.8,3,2,勝浦正樹,54.0,芝1800,良,**,1:49.7,0.2,**,5-5-3-2,36.6-35.2,35.1,456(-2),,,ブレークビーツ,409.0
20,2014/06/28,1函館5,晴,10,恵山特別(500万下),,9,1,1,4.1,1,5,勝浦正樹,54.0,芝1800,良,**,1:49.1,0.3,**,2-2-2-2,36.9-35.5,35.7,458(0),,,レッドシャンクス,100.0
21,2014/06/01,2東京12,晴,6,3歳500万下,,18,4,8,110.2,11,5,勝浦正樹,56.0,芝1600,良,**,1:34.2,0.6,**,9-8,35.4-33.8,33.6,458(-10),,,クラリティシチー,72.0
22,2014/01/19,1中山7,晴,11,京成杯(G3),,16,2,3,75.8,14,15,田中勝春,56.0,芝2000,良,**,2:03.8,2.7,**,8-9-9-15,36.3-36.8,38.9,468(0),,,プレイアンドリアル,
23,2014/01/05,1中山1,晴,10,ジュニアC(OP),,13,3,3,5.8,2,7,吉田豊,56.0,芝1600,良,**,1:37.9,0.6,**,9-11-11,36.8-35.1,34.5,468(+8),,,エスメラルディーナ,
24,2013/09/28,4中山8,晴,9,芙蓉S(OP),,11,7,9,12.3,5,6,勝浦正樹,54.0,芝1600,良,**,1:34.9,0.3,**,10-11-11,35.2-35.2,34.5,460(0),,,マーブルカテドラル,
25,2013/08/24,4函館3,晴,2,2歳未勝利,,7,1,1,1.5,1,1,丸山元気,54.0,芝1800,重,**,1:56.0,-0.1,**,3-3-5-4,39.0-36.8,36.4,460(-4),,,(ローハイド),500.0
26,2013/07/28,3函館2,曇,5,2歳新馬,,10,1,1,2.5,2,2,丸山元気,54.0,芝1800,良,**,1:52.6,0.2,**,2-2-2-2,37.7-37.3,37.3,464(0),,,オールステイ,280.0
