,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/10/16,4京都5,晴,11,秋華賞(G1),,18,4,7,6.3,3,1,福永祐一,55,芝2000,良,**,1:58.6,-0.1,**,9-9-8-8,35.8-34.4,33.4,414(0),,,(パールコード),9582.2
1,2016/09/10,4中山1,晴,11,紫苑S(G3),,18,5,9,5.8,3,2,福永祐一,54,芝2000,良,**,2:00.1,0.4,**,12-9-12-11,34.8-35.7,35.5,414(0),,,ビッシュ,1418.4
2,2016/07/24,3中京8,曇,7,3歳上500万下,,14,2,2,6.7,3,1,福永祐一,52,芝2000,良,**,2:00.5,-0.7,**,7-8-10-11,36.6-35.3,34.4,414(+8),,,(アオイプリンセス),750.0
3,2016/03/21,2中山8,晴,11,フラワーC(G3),,16,3,6,23.0,10,12,内田博幸,54,芝1800,良,**,1:50.1,0.8,**,10-10-12-12,36.8-35.6,35.4,406(-8),,,エンジェルフェイス,
4,2016/03/05,1阪神3,晴,11,チューリップ賞(G3),,16,2,3,30.7,8,12,内田博幸,54,芝1600,良,**,1:33.7,0.9,**,1-1,34.6-33.9,34.8,414(+6),,,シンハライト,
5,2015/11/21,5京都5,晴,3,2歳未勝利,,11,7,8,2.3,1,1,Ｍ．デム,54,芝1800,良,**,1:48.8,-0.2,**,2-2,35.7-35.1,34.2,408(-6),,,(リボンフラワー),500.0
6,2015/10/24,4京都6,晴,5,2歳新馬,,14,4,5,1.3,1,2,Ｃ．デム,54,芝1600,良,**,1:35.6,0.1,**,2-2,35.6-35.1,35.0,414(0),,,クラシックリディア,280.0
