,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,調教師,馬主,rank_0,rank_1,second,first_half,weight,diff
61,6,7,12,イズミサクセス,牡6,57.0,塩村克己,35.5,528.9,14.0,[東] 本郷一彦,斉藤猛,9,8,70.1,34.599999999999994,448,16
62,7,1,1,ジョンカラノテガミ,牡6,57.0,角田晃一,36.2,34.5,7.0,[東] 阿部新生,千田幸信,4,5,70.3,34.099999999999994,506,-6
63,8,8,14,ジョープロテクター,牡7,57.0,安藤勝己,36.2,10.2,5.0,[西] 柴田光陽,上田けい子,7,6,70.5,34.3,508,0
64,9,4,6,タヤスブルーム,牝5,54.0,飯田祐史,35.9,70.3,10.0,[西] 山内研二,横瀬寛一,10,11,70.6,34.699999999999996,446,-4
65,10,2,2,スピードスター,牡8,57.0,上村洋行,35.6,102.7,11.0,[西] 長浜博之,ヤブウチ,12,13,70.6,34.99999999999999,496,0
66,11,4,5,シンボリスウォード,牡6,57.0,藤田伸二,37.2,6.4,3.0,[東] 藤沢和雄,シンボリ牧場,2,1,71.1,33.89999999999999,494,-6
67,12,7,11,ハートマン,牡8,57.0,松永幹夫,36.9,35.2,8.0,[西] 加用正,誓山正伸,4,6,71.1,34.199999999999996,484,14
68,13,3,3,リザーブユアハート,牡5,56.0,小屋敷昭,37.4,298.2,12.0,[西] 白井寿昭,前田幸治,1,2,71.2,33.800000000000004,474,42
69,14,3,4,マイネルヒーロー,牡8,57.0,池添謙一,37.1,358.5,13.0,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,8,8,71.5,34.4,512,6
70,1,2,2,トロットスター,牡5,58.0,蛯名正義,34.2,1.8,1.0,[東] 中野栄治,高野稔,8,7,68.7,34.5,446,0
71,2,5,7,タイキトレジャー,牡5,57.0,横山典弘,34.5,2.7,2.0,[東] 藤沢和雄,大樹ファーム,5,4,68.7,34.2,470,0
72,3,5,8,ツルマルザムライ,牡5,57.0,福永祐一,34.7,33.7,5.0,[西] 橋口弘次,鶴田任男,5,4,68.9,34.2,458,4
73,4,3,3,ゲイリーフラッシュ,牡8,57.0,小林徹弥,34.3,61.9,10.0,[西] 安田伊佐,東京サラブレッドビューロー,8,9,68.9,34.60000000000001,438,0
74,5,6,10,イソノウイナー,牡7,57.0,飯田祐史,33.7,35.3,6.0,[西] 清水久雄,磯野俊雄,14,14,69.1,35.39999999999999,446,0
75,6,6,9,サイキョウサンデー,牡5,57.0,河内洋,34.8,42.2,8.0,[西] 坂口正大,奥本賢一郎,5,7,69.2,34.400000000000006,482,2
76,7,3,4,ラヴィエベル,牝4,55.0,佐藤哲三,34.3,255.7,12.0,[東] 高松邦男,伊達秀和,13,13,69.4,35.10000000000001,458,-8
77,8,7,11,バーガンディレッド,牝5,55.0,上村洋行,34.8,53.1,9.0,[東] 鈴木伸尋,キャロットファーム,8,9,69.4,34.60000000000001,468,4
78,9,7,12,テネシーガール,牝4,55.0,武幸四郎,35.5,8.6,3.0,[西] 坪正直,平井豊光,1,1,69.4,33.900000000000006,494,0
79,10,8,13,フレンチパッション,牝5,55.0,原田聖二,35.4,41.7,7.0,[西] 福島信晴,吉田修,4,4,69.5,34.1,462,4
80,11,4,6,ジョープロテクター,牡7,57.0,古川吉洋,34.8,445.6,14.0,[西] 柴田光陽,上田けい子,11,12,69.6,34.8,508,4
81,12,4,5,フェイマスケイ,牡7,57.0,池添謙一,35.1,167.9,11.0,[東] 嶋田潤,永嶋啓治,11,9,69.8,34.699999999999996,496,-2
82,13,1,1,ダンツキャスト,牡4,57.0,幸英明,35.9,18.0,4.0,[西] 谷潔,山元哲二,2,2,69.8,33.9,512,0
83,14,8,14,キーゴールド,牡6,57.0,内田浩一,36.1,275.1,13.0,[西] 宮徹,北前米子,2,2,70.1,33.99999999999999,510,16
84,1,2,4,ゲイリーフラッシュ,牡9,52.0,小林徹弥,34.4,97.5,14.0,[西] 安田伊佐,東京サラブレッドビューロー,5,3,68.7,34.300000000000004,446,2
85,2,5,10,サイキョウサンデー,牡6,55.0,四位洋文,34.3,4.4,2.0,[西] 坂口正大,奥本賢一郎,8,7,68.8,34.5,486,0
86,3,4,8,アイティースワロー,セ5,53.0,太宰啓介,34.8,28.2,10.0,[西] 柴田光陽,井門敏雄,2,2,68.8,34.0,486,4
87,4,4,7,ナムラマイカ,牝5,51.0,渡辺薫彦,35.0,26.1,9.0,[西] 福島信晴,奈村信重,1,1,68.9,33.900000000000006,454,2
88,5,1,2,タイキダイヤ,牝6,53.0,秋山真一,34.5,21.5,8.0,[東] 田中清隆,大樹ファーム,5,7,68.9,34.400000000000006,478,4
89,6,7,14,トロットスター,牡6,59.5,蛯名正義,34.3,2.7,1.0,[東] 中野栄治,高野稔,11,9,69.0,34.7,452,8
90,7,8,15,ノボリユキオー,牡6,54.0,福永祐一,34.8,11.5,5.0,[西] 瀬戸口勉,原田豊,5,6,69.1,34.3,460,-2
91,8,3,5,ジョンカラノテガミ,牡7,56.0,佐藤哲三,34.3,7.4,3.0,[東] 阿部新生,千田幸信,14,13,69.2,34.900000000000006,512,4
92,9,3,6,リキアイタイカン,牡4,55.0,山田泰誠,34.5,11.6,6.0,[西] 松田正弘,高山幸雄,13,13,69.3,34.8,482,0
93,10,6,12,キタサンチャンネル,牡4,54.0,小牧太,34.7,10.4,4.0,[西] 橋口弘次,大野商事,9,9,69.3,34.599999999999994,490,-4
94,11,2,3,フサイチオーレ,牡4,53.0,和田竜二,34.7,31.0,11.0,[西] 森秀行,関口房朗,11,9,69.4,34.7,446,4
95,12,8,16,ロッキーアピール,牡4,52.0,松永幹夫,35.0,16.4,7.0,[西] 松田国英,金子真人,9,9,69.5,34.5,480,2
96,13,1,1,スニーカー,牝6,49.0,川島信二,34.7,33.0,12.0,[東] 鈴木伸尋,飯田正剛,14,13,69.6,34.89999999999999,446,4
97,14,5,9,ケイワンバイキング,セ9,54.0,池添謙一,34.6,74.6,13.0,[東] 奥平真治,北村和哉,16,16,69.8,35.199999999999996,446,-10
98,15,6,11,フレンチパッション,牝6,49.0,原田聖二,35.9,142.4,15.0,[西] 福島信晴,吉田修,2,5,70.0,34.1,456,4
99,16,7,13,ラムジェットシチー,牡6,54.0,飯田祐史,36.0,171.5,16.0,[西] 佐々木晶,友駿ホースクラブ,2,3,70.1,34.099999999999994,524,4
100,1,5,8,テイエムサンデー,牡7,54.0,秋山真一,33.3,12.4,6.0,[西] 福島勝,竹園正繼,12,11,68.6,35.3,500,-2
101,2,6,10,カフェボストニアン,牡4,55.0,松永幹夫,34.4,4.4,2.0,[東] 松山康久,西川清,1,1,68.7,34.300000000000004,526,-12
102,3,5,7,サニングデール,牡4,57.0,福永祐一,34.1,2.1,1.0,[西] 瀬戸口勉,後藤繁樹,6,7,68.9,34.800000000000004,456,4
103,4,8,14,ゴールデンロドリゴ,牡6,56.0,佐藤哲三,34.5,9.1,4.0,[西] 飯田雄三,山住れい子,2,2,68.9,34.400000000000006,502,2
104,5,7,12,リキアイタイカン,牡5,57.5,四位洋文,34.3,8.7,3.0,[西] 松田正弘,高山幸雄,6,3,69.1,34.8,500,4
105,6,7,11,テイエムサウスポー,牡5,54.0,太宰啓介,34.4,109.1,11.0,[西] 柴田光陽,竹園正繼,3,3,69.1,34.699999999999996,528,6
106,7,3,3,スターエルドラード,牡4,54.0,ボニヤ,34.7,46.1,9.0,[西] 森秀行,新木正夫,3,3,69.3,34.599999999999994,476,0
