,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
13,14,7,13,ホウライアキコ,牝4,53.0,和田竜二,1:09.3,クビ,**,9-9,34.8,21.0,10.0,456(0),,,,[西] 南井克巳,小林茂行,
14,15,8,17,メイショウツガル,牡7,54.0,古川吉洋,1:09.4,1/2,**,13-16,34.6,60.6,13.0,488(+14),,,,[西] 武田博,松本好雄,
15,16,3,5,ワキノブレイブ,牡5,56.0,四位洋文,1:09.4,ハナ,**,9-12,34.8,23.8,11.0,502(+8),,,,[西] 清水久詞,脇山良之,
16,17,4,8,ニザエモン,牡7,54.0,松山弘平,1:09.5,3/4,**,1-2,35.6,72.2,15.0,466(-6),,,,[西] 佐々木晶,小田切有一,
0,1,1,1,ダンスディレクター,牡6,57.0,浜中俊,1:07.9,,**,5-3,33.3,4.4,2.0,444(0),,,,[西] 笹田和秀,太田珠々子,3956.7
1,2,4,8,ローレルベローチェ,牡5,56.0,中井裕二,1:08.1,1.1/2,**,1-1,34.4,11.9,5.0,508(+4),,,,[西] 飯田雄三,ローレルレーシング,1616.2
2,3,4,7,ワキノブレイブ,牡6,55.0,小牧太,1:08.4,1.1/2,**,5-6,33.7,90.9,11.0,492(-6),,,,[西] 清水久詞,脇山良之,988.1
3,4,3,6,セカンドテーブル,牡4,54.0,水口優也,1:08.4,ハナ,**,2-2,34.1,68.3,10.0,470(+2),,,,[西] 崎山博樹,山上和良,590.0
4,5,8,16,ビッグアーサー,牡5,57.0,Ｍ．デム,1:08.5,3/4,**,9-10,33.4,2.1,1.0,524(+2),,,,[西] 藤岡健一,中辻明,390.0
5,6,3,5,サトノルパン,牡5,57.5,和田竜二,1:08.5,クビ,**,7-7,33.6,8.2,4.0,452(0),,,,[西] 村山明,里見治,
6,7,5,9,ヒルノデイバロー,牡5,54.0,岩田康誠,1:08.6,1/2,**,16-16,32.6,23.1,7.0,520(+2),,,,[西] 昆貢,ヒルノ,
7,8,2,4,ヤマニンプチガトー,牝7,51.0,村田一誠,1:08.7,クビ,**,11-11,33.5,95.2,12.0,492(+2),,,,[西] 木原一良,土井肇,
8,9,8,15,ネロ,牡5,57.0,内田博幸,1:08.8,1/2,**,4-3,34.3,7.9,3.0,476(+6),,,,[西] 森秀行,西山茂行,
9,10,2,3,リトルゲルダ,牝7,54.0,松山弘平,1:08.8,クビ,**,9-7,33.9,43.8,9.0,504(+4),,,,[西] 鮫島一歩,栗山良子,
10,11,6,11,アースソニック,牡7,57.0,川田将雅,1:08.9,クビ,**,11-12,33.6,16.5,6.0,498(+4),,,,[西] 中竹和也,前田幸治,
11,12,1,2,メイショウツガル,牡8,53.0,鮫島良太,1:09.0,1/2,**,13-14,33.6,335.5,16.0,470(-2),,,,[西] 武田博,松本好雄,
12,13,6,12,ヤサカオディール,牝7,51.0,小崎綾也,1:09.0,ハナ,**,15-15,33.4,297.7,15.0,460(+6),,,,[東] 水野貴広,志邑宣彦,
13,14,7,13,ニンジャ,牡7,53.0,古川吉洋,1:09.2,1.1/4,**,13-12,33.8,121.2,13.0,476(0),,,,[西] 宮徹,ロイヤルパーク,
14,15,7,14,セイコーライコウ,牡9,56.0,秋山真一,1:09.4,1.1/4,**,7-7,34.6,159.6,14.0,490(-2),,,,[東] 竹内正洋,竹國美枝子,
15,16,5,10,アクティブミノル,牡4,56.0,武豊,1:09.8,2.1/2,**,3-3,35.3,23.7,8.0,484(-4),,,,[西] 北出成人,吉岡實,
0,1,5,7,ダンスディレクター,牡7,57.5,武豊,1:07.8,,**,10-9,33.1,6.7,3.0,442(-4),,,,[西] 笹田和秀,太田珠々子,3946.2
1,2,7,11,セイウンコウセイ,牡4,55.0,松田大作,1:07.8,クビ,**,3-3,33.6,7.0,4.0,500(+6),,,,[東] 上原博之,西山茂行,1613.2
2,3,6,9,セカンドテーブル,牡5,56.0,水口優也,1:08.0,1.1/2,**,3-3,33.9,18.6,7.0,486(+2),,,,[西] 崎山博樹,山上和良,986.6
3,4,4,4,ヒルノデイバロー,牡6,54.0,四位洋文,1:08.1,クビ,**,13-12,33.3,23.6,8.0,524(+2),,,,[西] 昆貢,ヒルノ,590.0
4,5,1,1,ラインスピリット,牡6,56.0,森一馬,1:08.1,ハナ,**,9-9,33.5,11.4,6.0,446(0),,,,[西] 松永昌博,大澤繁昌,390.0
5,6,4,5,ソルヴェイグ,牝4,54.0,Ｍ．デム,1:08.3,1.1/2,**,1-1,34.4,3.8,2.0,478(+18),,,,[西] 鮫島一歩,Ｇ１レーシング,
6,7,3,3,アースソニック,牡8,56.0,古川吉洋,1:08.3,アタマ,**,5-5,34.0,89.3,11.0,500(+10),,,,[西] 中竹和也,前田幸治,
7,8,6,8,ダイシンサンダー,牡6,55.0,幸英明,1:08.3,ハナ,**,10-11,33.6,72.1,10.0,506(-2),,,,[西] 須貝尚介,大八木信行,
8,9,5,6,ブラヴィッシモ,牡5,55.0,フォーリ,1:08.5,3/4,**,5-5,34.1,49.7,9.0,514(+12),,,,[西] 須貝尚介,金子真人ホールディングス,
9,10,2,2,テイエムタイホー,牡8,56.0,池添謙一,1:08.5,ハナ,**,12-12,33.7,118.4,12.0,492(-2),,,,[西] 鈴木孝志,竹園正繼,
10,11,7,10,ネロ,牡6,57.5,浜中俊,1:08.6,1/2,**,2-2,34.7,3.0,1.0,482(+4),,,,[西] 森秀行,西山茂行,
11,12,8,13,カオスモス,牡7,54.0,武幸四郎,1:09.5,5,**,5-7,35.1,246.2,13.0,510(+12),,,,[西] 森秀行,小田吉男,
12,13,8,12,ブランボヌール,牝4,54.0,和田竜二,1:09.7,1.1/4,**,5-7,35.3,7.9,5.0,446(0),,,,[西] 中竹和也,前田葉子,
0,1,1,1,ファインニードル,牡5,57.0,川田将雅,1:08.3,,**,3-2,33.9,7.7,4.0,488(+18),,,,[西] 高橋義忠,Ｈ．Ｈ．シェイク・モハメド,3963.0
1,2,4,7,セイウンコウセイ,牡5,58.0,松田大作,1:08.6,2,**,1-1,34.6,9.9,5.0,504(+6),,,,[東] 上原博之,西山茂行,1618.0
